Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Euro Standard,Noise Level dB(A),Emissions CO [g/km],Emissions HC [g/km],Emissions NOx [g/km],Emissions HC+NOx [g/km],Emissions Particulates [g/km]
FORD,"Focus, Model Year Pre 2010¼",2.0 Duratorq TDCi (136PS) Estate (+DPF),A6,1997,Diesel,7.8,4.7,5.8,36.2,60.1,48.7,154,1557.02833675565,4,68,0.049,,0.202,0.211,0.001
FORD,"Focus, Model Year Post 2010¼",1.6 Duratec (100PS) 3/5 Door Saloon,M5,1596,Petrol,8.7,5.5,6.7,32.5,51.4,42.2,159,1719.29289099526,4,71,0.547,0.072,0.05,,
FORD,"Focus, Model Year Post 2010¼",1.6 Duratec (100PS) Estate,M5,1596,Petrol,8.7,5.5,6.7,32.5,51.4,42.2,159,1719.29289099526,4,71,0.547,0.072,0.05,,
FORD,"Focus, Model Year Post 2010¼",1.6 Duratec (100PS) 3 Door Saloon,A4,1596,Petrol,10.3,5.8,7.5,27.4,48.7,37.7,179,1924.51352785146,4,70,0.25,0.071,0.06,,
FORD,"Focus, Model Year Post 2010¼",1.6 Duratec (100PS) 5 Door Saloon,A4,1596,Petrol,10.6,6,7.7,26.6,47.1,36.7,184,1976.95258855586,4,70,0.25,0.071,0.06,,
FORD,"Focus, Model Year Post 2010¼",1.6 Duratec (100PS) Estate,A4,1596,Petrol,10.6,6,7.7,26.6,47.1,36.7,184,1976.95258855586,4,70,0.25,0.071,0.06,,
FORD,"Focus, Model Year Post 2010¼",1.6 Duratec Ti-VCT (115PS) 3/5 Door Saloon,M5,1596,Petrol,8.7,5.4,6.6,32.5,52.3,42.8,157,1695.19065420561,4,71,0.58,0.078,0.031,,
FORD,"Focus, Model Year Post 2010¼",1.6 Duratec Ti-VCT (115PS) Estate,M5,1596,Petrol,8.7,5.4,6.6,32.5,52.3,42.8,157,1695.19065420561,4,71,0.58,0.078,0.031,,
FORD,"Focus, Model Year Post 2010¼",1.8 Duratec (125PS) 3/5 Door Saloon,M5,1798,Petrol,9.5,5.6,7,29.7,50.4,40.4,167,1795.89504950495,4,71,0.413,0.081,0.034,,
FORD,"Focus, Model Year Post 2010¼",1.8 Duratec (125PS) Estate,M5,1798,Petrol,9.5,5.6,7,29.7,50.4,40.4,167,1795.89504950495,4,71,0.413,0.081,0.034,,
FORD,"Focus, Model Year Post 2010¼",2.0 Duratec (145PS) 3/5 Door Saloon,M5,1999,Petrol,9.8,5.4,7.1,28.8,52.3,39.8,169,1822.96884422111,4,71,0.501,0.084,0.04,,
FORD,"Focus, Model Year Post 2010¼",2.0 Duratec (145PS) Estate,M5,1999,Petrol,9.8,5.4,7.1,28.8,52.3,39.8,169,1822.96884422111,4,71,0.501,0.084,0.04,,
FORD,"Focus, Model Year Post 2010¼",2.0 Duratec (145PS) 5 Door Saloon,A4,1999,Petrol,11.2,6.1,8,25.2,46.3,35.3,189,2055.35864022663,4,71,0.509,0.087,0.061,,
FORD,"Focus, Model Year Post 2010¼",2.0 Duratec (145PS) Estate,A4,1999,Petrol,11.2,6.1,8,25.2,46.3,35.3,189,2055.35864022663,4,71,0.509,0.087,0.061,,
FORD,"Focus, Model Year Post 2010¼",2.5 Duratec ST (225PS) 3/5 Door Saloon,M6,2521,Petrol,13.8,6.8,9.3,20.5,41.5,30.4,224,2386.65,4,74,0.456,0.066,0.03,,
FORD,"Focus, Model Year Post 2010¼",2.5 Duratec RS (305PS) 3 Door Saloon,M6,2521,Petrol,13.4,7,9.4,21.1,40.4,30.1,225,2410.43720930233,4,75,0.508,0.094,0.062,,
FORD,"Focus, Model Year Post 2010¼",2.5 Duratec RS500 (350PS) 3 Door Saloon,M6,2521,Petrol,14,7.5,9.9,20.2,37.7,28.5,235,2545.76,4,75,0.508,0.094,0.062,,
FORD,"Focus, Model Year Post 2010¼",1.6 Duratorq TDCi (90PS) 5 Door Saloon (ECO),M5,1560,Diesel,5,3.4,4,56.5,83.1,70.6,104,1074.04079320113,4,69,0.329,,0.162,0.182,0.002
FORD,"Focus, Model Year Post 2010¼",1.6 Duratorq TDCi (109PS) 5 Door Saloon (ECO),M5,1560,Diesel,5,3.4,4,56.5,83.1,70.6,104,1074.04079320113,4,70,0.329,,0.162,0.182,0.002
FORD,"Focus, Model Year Post 2010¼",1.6 Duratorq TDCi (109PS) Estate (ECO),M5,1560,Diesel,5,3.4,4,56.5,83.1,70.6,104,1074.04079320113,4,70,0.329,,0.162,0.182,0.002
FORD,"Focus, Model Year Post 2010¼",1.6 Duratorq TDCi (109PS) 5 Door Saloon (ECO Start-Stop),M5,1560,Diesel,4.5,3.4,3.8,62.8,83.1,74.3,99,1020.55558546433,4,70,0.291,,0.163,0.181,0.003
FORD,"Focus, Model Year Post 2010¼",2.0 Duratorq TDCi (136PS) 3/5 Door Saloon,M6,1997,Diesel,7,4.5,5.5,40.4,62.8,51.4,144,1475.23891050584,4,72,0.257,,0.14,0.167,0.02
FORD,"Focus, Model Year Post 2010¼",2.0 Duratorq TDCi (136PS) Estate,M6,1997,Diesel,7.2,4.6,5.6,39.2,61.4,50.4,147,1504.50952380952,4,72,0.257,,0.14,0.167,0.02
FORD,"Focus, Model Year Post 2010¼",2.0 Duratorq TDCi (136PS) 3/5 Door Saloon (+DPF),A6,1997,Diesel,7.8,4.7,5.8,36.2,60.1,48.7,154,1557.02833675565,4,68,0.049,,0.202,0.211,0.001
FORD,"Focus, Model Year Post 2010¼",2.0 Duratorq TDCi (136PS) Estate (+DPF),A6,1997,Diesel,7.8,4.7,5.8,36.2,60.1,48.7,154,1557.02833675565,4,68,0.049,,0.202,0.211,0.001
FORD,"Focus C-Max, Model Year Post 2009¼",1.6 Duratec (100PS),M5,1596,Petrol,8.9,5.7,6.9,31.7,49.6,40.9,164,1773.94034229829,4,71,0.547,0.072,0.05,,
FORD,"Focus C-Max, Model Year Post 2009¼",1.8 Duratec (125PS),M5,1798,Petrol,9.6,5.6,7.1,29.4,50.4,39.8,169,1822.96884422111,4,71,0.413,0.081,0.034,,
FORD,"Focus C-Max, Model Year Post 2009¼",1.8 Duratec Flexi-Fuel (125PS),M5,1798,Petrol / E85 (Flex Fuel),9.6,5.6,7.1,29.4,50.4,39.8,169,1055.40301507538,4,71,0.413,0.081,0.034,,
FORD,"Focus C-Max, Model Year Post 2009¼",2.0 Duratec (145PS),M5,1999,Petrol,9.9,5.5,7.2,28.5,51.4,39.2,171,1850.87142857143,4,71,0.501,0.084,0.04,,
FORD,"Focus C-Max, Model Year Post 2009¼",2.0 Duratec (145PS),A4,1999,Petrol,11.2,6.2,8,25.2,45.6,35.3,189,2055.35864022663,4,71,0.509,0.087,0.061,,
FORD,"Focus C-Max, Model Year Post 2009¼",1.6 Duratorq TDCi (90PS),M5,1560,Diesel,5.8,3.7,4.5,48.7,76.3,62.8,119,1207.44076433121,4,71,0.178,,0.205,0.221,0.019
FORD,"Focus C-Max, Model Year Post 2009¼",1.6 Duratorq TDCi (109PS),M5,1560,Diesel,5.8,3.7,4.5,48.7,76.3,62.8,119,1207.44076433121,4,70,0.186,,0.188,0.208,0.002
FORD,"Focus C-Max, Model Year Post 2009¼",1.8 Duratorq TDCi (115PS),M5,1753,Diesel,6.9,4.5,5.4,40.9,62.8,52.3,143,1449.85239005736,4,71,0.346,,0.246,0.29,0.012
FORD,"Focus C-Max, Model Year Post 2009¼",2.0 Duratorq TDCi (110PS) (+DPF),A6,1997,Diesel,8,4.8,5.9,35.3,58.9,47.9,159,1583.03298538622,4,68,0.049,,0.202,0.211,0.001
FORD,"Focus C-Max, Model Year Post 2009¼",2.0 Duratorq TDCi (136PS),M6,1997,Diesel,7.3,4.7,5.7,38.7,60.1,49.6,149,1528.77580645161,4,72,0.257,,0.14,0.167,0.02
FORD,"Focus C-Max, Model Year Post 2009¼",2.0 Duratorq TDCi (136PS) (+DPF),M6,1997,Diesel,7.3,4.7,5.7,38.7,60.1,49.6,149,1528.77580645161,4,72,0.056,,0.208,0.22,0.003
FORD,"Focus C-Max, Model Year Post 2009¼",2.0 Duratorq TDCi (136PS) (+DPF),A6,1997,Diesel,8,4.8,5.9,35.3,58.9,47.9,159,1583.03298538622,4,68,0.049,,0.202,0.211,0.001
FORD,"Kuga, Model Year Pre 2010¾",2.5 Duratec (200PS),A5-AWD,2521,Petrol,14.6,7.8,10.3,19.3,36.2,27.4,244,2647.96204379562,4,72,0.245,0.061,0.017,,
FORD,"Kuga, Model Year Pre 2010¾",2.5 Duratec (200PS),M6-AWD,2521,Petrol,13.9,7.6,9.9,20.3,37.2,28.5,234,2545.76,4,70,0.322,0.052,0.029,,
FORD,"Kuga, Model Year Pre 2010¾",2.0 Duratorq TDCi (136PS) (+DPF),M6,1997,Diesel,7.7,5.1,6.1,36.7,55.4,46.3,159,1637.73822894169,4,72,0.068,,0.22,0.236,0.001
FORD,"Kuga, Model Year Pre 2010¾",2.0 Duratorq TDCi (136PS) (+DPF),M6-AWD,1997,Diesel,8.1,5.4,6.4,34.9,52.3,44.1,169,1719.43945578231,4,72,0.068,,0.22,0.236,0.001
FORD,"Kuga, Model Year Post 2010¾",2.5 Duratec (200PS),A5-AWD,2521,Petrol,14.6,7.8,10.3,19.3,36.2,27.4,244,2647.96204379562,4,72,0.245,0.061,0.017,,
FORD,"Kuga, Model Year Post 2010¾",2.5 Duratec (200PS),M6-AWD,2521,Petrol,13.9,7.6,9.9,20.3,37.2,28.5,234,2545.76,4,70,0.322,0.052,0.029,,
FORD,"Mondeo, Model Year Pre 2010",1.6 Duratec (110PS) Saloon,M5,1596,Petrol,10,5.6,7.2,28.2,50.4,39.2,170,1850.87142857143,4,72,0.576,0.095,0.061,,
FORD,"Mondeo, Model Year Pre 2010",1.6 Duratec (110PS) Estate,M5,1596,Petrol,10,5.6,7.2,28.2,50.4,39.2,170,1850.87142857143,4,72,0.576,0.095,0.061,,
FORD,"Mondeo, Model Year Pre 2010",1.6 Duratec (125PS) Saloon,M5,1596,Petrol,10,5.6,7.2,28.2,50.4,39.2,170,1850.87142857143,4,72,0.576,0.095,0.061,,
FORD,"Mondeo, Model Year Pre 2010",1.6 Duratec (125PS) Estate,M5,1596,Petrol,10,5.6,7.2,28.2,50.4,39.2,170,1850.87142857143,4,72,0.576,0.095,0.061,,
FORD,"Mondeo, Model Year Pre 2010",2.0 Duratec (145PS) Saloon,M5,1999,Petrol,11.2,6,7.9,25.2,47.1,35.8,189,2026.65251396648,4,72,0.506,0.064,0.052,,
FORD,"Mondeo, Model Year Pre 2010",2.0 Duratec (145PS) Estate,M5,1999,Petrol,11.2,6,7.9,25.2,47.1,35.8,189,2026.65251396648,4,72,0.506,0.064,0.052,,
FORD,"Mondeo, Model Year Pre 2010",2.0 Duratec Flexi-Fuel (145PS) Saloon,M5,1999,Petrol / E85 (Flex Fuel),11.2,6,7.9,25.2,47.1,35.8,189,1173.3251396648,4,72,0.399,0.034,0.026,,
FORD,"Mondeo, Model Year Pre 2010",2.0 Duratec Flexi-Fuel (145PS) Estate,M5,1999,Petrol / E85 (Flex Fuel),11.2,6,7.9,25.2,47.1,35.8,189,1173.3251396648,4,72,0.399,0.034,0.026,,
FORD,"Mondeo, Model Year Pre 2010",2.3 Duratec (160PS) Saloon,A6,2261,Petrol,13.8,6.7,9.3,20.5,42.2,30.4,223,2386.65,4,70,0.476,0.057,0.063,,
FORD,"Mondeo, Model Year Pre 2010",2.3 Duratec (160PS) Estate,A6,2261,Petrol,13.8,6.7,9.3,20.5,42.2,30.4,223,2386.65,4,70,0.476,0.057,0.063,,
FORD,"Mondeo, Model Year Pre 2010",2.5 Duratec (220PS) Saloon,M6,2521,Petrol,13.6,6.8,9.3,20.8,41.5,30.4,222,2386.65,4,71,0.374,0.058,0.024,,
FORD,"Mondeo, Model Year Pre 2010",2.5 Duratec (220PS) Estate,M6,2521,Petrol,13.6,6.8,9.3,20.8,41.5,30.4,222,2386.65,4,71,0.374,0.058,0.024,,
FORD,"Mondeo, Model Year Pre 2010",1.8 Duratorq TDCi (100PS) Saloon,M5,1753,Diesel,7.3,4.6,5.6,38.7,61.4,50.4,149,1504.50952380952,4,69,0.275,,0.235,0.258,0.023
FORD,"Mondeo, Model Year Pre 2010",1.8 Duratorq TDCi (100PS) Estate,M5,1753,Diesel,7.4,4.7,5.7,38.2,60.1,49.6,151,1528.77580645161,4,69,0.275,,0.235,0.258,0.023
FORD,"Mondeo, Model Year Pre 2010",1.8 Duratorq TDCi (125PS) Saloon,M5,1753,Diesel,7.3,4.6,5.6,38.7,61.4,50.4,149,1504.50952380952,4,69,0.275,,0.235,0.258,0.023
FORD,"Mondeo, Model Year Pre 2010",1.8 Duratorq TDCi (125PS) Estate,M5,1753,Diesel,7.4,4.7,5.7,38.2,60.1,49.6,151,1528.77580645161,4,69,0.275,,0.235,0.258,0.023
FORD,"Mondeo, Model Year Pre 2010",1.8 Duratorq TDCi (125PS) Saloon,M6,1753,Diesel,7.5,4.8,5.8,37.7,58.9,48.7,154,1557.02833675565,4,69,0.344,,0.226,0.256,0.023
FORD,"Mondeo, Model Year Pre 2010",1.8 Duratorq TDCi (125PS) Estate,M6,1753,Diesel,7.6,4.9,5.9,37.2,57.6,47.9,156,1583.03298538622,4,69,0.344,,0.226,0.256,0.023
FORD,"Mondeo, Model Year Pre 2010",1.8 Duratorq TDCi (125PS) Saloon (ECO),M5,1753,Diesel,6.8,4.4,5.3,41.5,64.2,53.3,139,1422.65065666041,4,69,0.275,,0.235,0.258,0.023
FORD,"Mondeo, Model Year Pre 2010",1.8 Duratorq TDCi (125PS) Estate (ECO),M5,1753,Diesel,6.9,4.5,5.4,40.9,62.8,52.3,142,1449.85239005736,4,69,0.275,,0.235,0.258,0.023
FORD,"Mondeo, Model Year Pre 2010",2.0 Duratorq TDCI (115PS) Saloon (ECO),M6,1997,Diesel,6.6,4.4,5.2,42.8,64.2,54.3,139,1396.45082872928,4,71,0.136,,0.15,0.164,0
FORD,"Mondeo, Model Year Pre 2010",2.0 Duratorq TDCI (115PS) Estate (ECO),M6,1997,Diesel,6.6,4.4,5.2,42.8,64.2,54.3,139,1396.45082872928,4,71,0.136,,0.15,0.164,0
FORD,"Mondeo, Model Year Pre 2010",2.0 Duratorq TDCi (140PS) Saloon,M6,1997,Diesel,7.6,4.9,5.9,37.2,57.6,47.9,156,1583.03298538622,4,71,0.255,,0.237,0.267,0.001
FORD,"Mondeo, Model Year Pre 2010",2.0 Duratorq TDCi (140PS) Estate,M6,1997,Diesel,7.6,4.9,5.9,37.2,57.6,47.9,156,1583.03298538622,4,71,0.255,,0.237,0.267,0.001
FORD,"Mondeo, Model Year Pre 2010",2.0 Duratorq TDCi (140PS) Saloon,A6,1997,Diesel,9.7,5.5,7.1,29.1,51.4,39.8,187,1905.20804020101,4,70,0.026,,0.216,0.222,0
FORD,"Mondeo, Model Year Pre 2010",2.0 Duratorq TDCi (140PS) Estate,A6,1997,Diesel,9.7,5.5,7.1,29.1,51.4,39.8,187,1905.20804020101,4,70,0.026,,0.216,0.222,0
FORD,"Mondeo, Model Year Pre 2010",2.2 Duratorq TDCi (175PS) Saloon,M6,2179,Diesel,8.4,4.9,6.2,33.6,57.6,45.6,165,1662.87894736842,4,70,0.263,,0.22,0.261,0.002
FORD,"Mondeo, Model Year Pre 2010",2.2 Duratorq TDCi (175PS) Estate ,M6,2179,Diesel,8.4,4.9,6.2,33.6,57.6,45.6,165,1662.87894736842,4,70,0.263,,0.22,0.261,0.002
FORD,"Mondeo, Model Year Post 2010",1.6 Duratec (110PS) Saloon,M5,1596,Petrol,10,5.6,7.2,28.2,50.4,39.2,170,1850.87142857143,4,72,0.576,0.095,0.061,,
FORD,"Mondeo, Model Year Post 2010",1.6 Duratec (110PS) Estate,M5,1596,Petrol,10,5.6,7.2,28.2,50.4,39.2,170,1850.87142857143,4,72,0.576,0.095,0.061,,
FORD,"Mondeo, Model Year Post 2010",1.6 Duratec (125PS) Saloon,M5,1596,Petrol,10,5.6,7.2,28.2,50.4,39.2,170,1850.87142857143,4,72,0.576,0.095,0.061,,
FORD,"Mondeo, Model Year Post 2010",1.6 Duratec (125PS) Estate,M5,1596,Petrol,10,5.6,7.2,28.2,50.4,39.2,170,1850.87142857143,4,72,0.576,0.095,0.061,,
FORD,"Mondeo, Model Year Post 2010",2.0 Duratec (145PS) Saloon,M5,1999,Petrol,11.2,6,7.9,25.2,47.1,35.8,189,2026.65251396648,4,72,0.506,0.064,0.052,,
FORD,"Mondeo, Model Year Post 2010",2.0 Duratec (145PS) Estate,M5,1999,Petrol,11.2,6,7.9,25.2,47.1,35.8,189,2026.65251396648,4,72,0.506,0.064,0.052,,
FORD,"Mondeo, Model Year Post 2010",2.0 Duratec Flexi-Fuel (145PS) Saloon,M5,1999,Petrol / E85 (Flex Fuel),11.2,6,7.9,25.2,47.1,35.8,189,1173.3251396648,4,72,0.399,0.034,0.026,,
FORD,"Mondeo, Model Year Post 2010",2.0 Duratec Flexi-Fuel (145PS) Estate,M5,1999,Petrol / E85 (Flex Fuel),11.2,6,7.9,25.2,47.1,35.8,189,1173.3251396648,4,72,0.399,0.034,0.026,,
FORD,"Mondeo, Model Year Post 2010",2.3 Duratec (160PS) Saloon,A6,2261,Petrol,13.8,6.7,9.3,20.5,42.2,30.4,223,2386.65,4,70,0.513,0.058,0.041,,
FORD,"Mondeo, Model Year Post 2010",2.3 Duratec (160PS) Estate,A6,2261,Petrol,13.8,6.7,9.3,20.5,42.2,30.4,223,2386.65,4,70,0.513,0.058,0.041,,
FORD,"Mondeo, Model Year Post 2010",2.5 Duratec (220PS) Saloon,M6,2521,Petrol,13.6,6.8,9.3,20.8,41.5,30.4,222,2386.65,4,71,0.374,0.058,0.024,,
FORD,"Mondeo, Model Year Post 2010",2.5 Duratec (220PS) Estate,M6,2521,Petrol,13.6,6.8,9.3,20.8,41.5,30.4,222,2386.65,4,71,0.374,0.058,0.024,,
FORD,"Mondeo, Model Year Post 2010",1.8 Duratorq TDCi (100PS) Saloon,M5,1753,Diesel,7.3,4.6,5.6,38.7,61.4,50.4,149,1504.50952380952,4,69,0.275,,0.235,0.258,0.023
FORD,"Mondeo, Model Year Post 2010",1.8 Duratorq TDCi (100PS) Estate,M5,1753,Diesel,7.4,4.7,5.7,38.2,60.1,49.6,151,1528.77580645161,4,69,0.275,,0.235,0.258,0.023
FORD,"Mondeo, Model Year Post 2010",2.0 Duratorq TDCI (115PS) Saloon (ECO),M6,1997,Diesel,6.6,4.4,5.2,42.8,64.2,54.3,139,1396.45082872928,4,71,0.136,,0.15,0.164,0
FORD,"Mondeo, Model Year Post 2010",2.0 Duratorq TDCI (115PS) Estate (ECO),M6,1997,Diesel,6.6,4.4,5.2,42.8,64.2,54.3,139,1396.45082872928,4,71,0.136,,0.15,0.164,0
FORD,"Mondeo, Model Year Post 2010",1.8 Duratorq TDCi (125PS) Saloon,M5,1753,Diesel,7.3,4.6,5.6,38.7,61.4,50.4,149,1504.50952380952,4,69,0.275,,0.235,0.258,0.023
FORD,"Mondeo, Model Year Post 2010",1.8 Duratorq TDCi (125PS) Estate,M5,1753,Diesel,7.4,4.7,5.7,38.2,60.1,49.6,151,1528.77580645161,4,69,0.275,,0.235,0.258,0.023
FORD,"Mondeo, Model Year Post 2010",1.8 Duratorq TDCi (125PS) Saloon,M6,1753,Diesel,7.5,4.8,5.8,37.7,58.9,48.7,154,1557.02833675565,4,69,0.344,,0.226,0.256,0.023
FORD,"Mondeo, Model Year Post 2010",1.8 Duratorq TDCi (125PS) Estate,M6,1753,Diesel,7.6,4.9,5.9,37.2,57.6,47.9,156,1583.03298538622,4,69,0.344,,0.226,0.256,0.023
FORD,"Mondeo, Model Year Post 2010",1.8 Duratorq TDCi (125PS) Saloon (ECO),M5,1753,Diesel,6.8,4.4,5.3,41.5,64.2,53.3,139,1422.65065666041,4,69,0.275,,0.235,0.258,0.023
FORD,"Mondeo, Model Year Post 2010",1.8 Duratorq TDCi (125PS) Estate (ECO),M5,1753,Diesel,6.9,4.5,5.4,40.9,62.8,52.3,142,1449.85239005736,4,69,0.275,,0.235,0.258,0.023
FORD,"Mondeo, Model Year Post 2010",2.0 Duratorq TDCi (140PS) Saloon,M6,1997,Diesel,7.5,4.8,5.8,37.7,58.9,48.7,154,1557.02833675565,4,71,0.255,,0.237,0.267,0.001
FORD,"Mondeo, Model Year Post 2010",2.0 Duratorq TDCi (140PS) Estate,M6,1997,Diesel,7.5,4.8,5.8,37.7,58.9,48.7,154,1557.02833675565,4,71,0.255,,0.237,0.267,0.001
FORD,"Mondeo, Model Year Post 2010",2.0 Duratorq TDCi (140PS) Saloon,A6,1997,Diesel,9.7,5.5,7.1,29.1,51.4,39.8,187,1905.20804020101,4,70,0.026,,0.216,0.222,0
FORD,"Mondeo, Model Year Post 2010",2.0 Duratorq TDCi (140PS) Estate,A6,1997,Diesel,9.7,5.5,7.1,29.1,51.4,39.8,187,1905.20804020101,4,70,0.026,,0.216,0.222,0
FORD,"Mondeo, Model Year Post 2010",2.2 Duratorq TDCi (175PS) Saloon,M6,2179,Diesel,8.4,4.9,6.2,33.6,57.6,45.6,165,1662.87894736842,4,70,0.263,,0.22,0.261,0.002
FORD,"Mondeo, Model Year Post 2010",2.2 Duratorq TDCi (175PS) Estate,M6,2179,Diesel,8.4,4.9,6.2,33.6,57.6,45.6,165,1662.87894736842,4,70,0.263,,0.22,0.261,0.002
FORD,"S-Max, Model Year Pre 2010",2.0 Duratec (145PS),M5,1999,Petrol,11,6.4,8.1,25.7,44.1,34.9,194,2078.91575931232,4,72,0.506,0.064,0.052,,
FORD,"S-Max, Model Year Pre 2010",2.0 Duratec Flexi-Fuel (145PS),M5,1999,Petrol / E85 (Flex Fuel),11,6.4,8.1,25.7,44.1,34.9,194,1203.58280802292,4,72,0.749,0.057,0.02,,
FORD,"S-Max, Model Year Pre 2010",2.3 Duratec (160PS),A6,2261,Petrol,13.7,7.4,9.7,20.6,38.2,29.1,232,2493.27010309278,4,70,0.476,0.057,0.063,,
FORD,"S-Max, Model Year Pre 2010",2.5 Duratec (220PS),M6,2521,Petrol,13.3,7.1,9.4,21.2,39.8,30.1,224,2410.43720930233,4,72,0.374,0.058,0.024,,
FORD,"S-Max, Model Year Pre 2010",1.8 Duratorq TDCi (125PS),M5,1753,Diesel,7.9,5.2,6.2,35.8,54.3,45.6,164,1662.87894736842,4,70,0.585,,0.299,0.339,0.023
FORD,"S-Max, Model Year Pre 2010",1.8 Duratorq TDCi (125PS),M6,1753,Diesel,7.9,5.2,6.2,35.8,54.3,45.6,164,1662.87894736842,4,70,0.502,,0.267,0.32,0.032
FORD,"S-Max, Model Year Pre 2010",2.0 Duratorq TDCi (140PS),M6,1997,Diesel,7.7,5,6,36.7,56.5,47.1,159,1609.92101910828,4,71,0.242,,0.291,0.324,0.036
FORD,"S-Max, Model Year Pre 2010",2.0 Duratorq TDCi (140PS) (+DPF),M6,1997,Diesel,7.7,5,6,36.7,56.5,47.1,159,1609.92101910828,4,71,0.242,,0.302,0.326,0.001
FORD,"S-Max, Model Year Pre 2010",2.0 Duratorq TDCi (140PS) (+DPF),A6,1997,Diesel,9.7,5.7,7.2,29.1,49.6,39.2,189,1934.3693877551,4,70,0.028,,0.302,0.308,0.001
FORD,"S-Max, Model Year Pre 2010",2.2 Duratorq TDCi (175PS),M6,2179,Diesel,8.9,5.2,6.6,31.7,54.3,42.8,174,1771.66542056075,4,70,0.243,,0.275,0.32,0
FORD,"S-Max, Model Year Post 2010",2.0 Duratec (145PS),M5,1999,Petrol,11,6.4,8.1,25.7,44.1,34.9,194,2078.91575931232,4,72,0.506,0.064,0.052,,
FORD,"S-Max, Model Year Post 2010",2.0 Duratec Flexi-Fuel (145PS),M5,1999,Petrol / E85 (Flex Fuel),11,6.4,8.1,25.7,44.1,34.9,194,1203.58280802292,4,72,0.749,0.057,0.02,,
FORD,"S-Max, Model Year Post 2010",2.3 Duratec (160PS),A6,2261,Petrol,13.7,7.4,9.7,20.6,38.2,29.1,232,2493.27010309278,4,70,0.513,0.058,0.041,,
FORD,"S-Max, Model Year Post 2010",2.5 Duratec (220PS),M6,2521,Petrol,13.3,7.1,9.4,21.2,39.8,30.1,224,2410.43720930233,4,72,0.374,0.058,0.024,,
FORD,"S-Max, Model Year Post 2010",1.8 Duratorq TDCi (125PS),M5,1753,Diesel,7.9,5.2,6.2,35.8,54.3,45.6,164,1662.87894736842,4,70,0.585,,0.299,0.339,0.023
FORD,"S-Max, Model Year Post 2010",1.8 Duratorq TDCi (125PS),M6,1753,Diesel,7.9,5.2,6.2,35.8,54.3,45.6,164,1662.87894736842,4,70,0.502,,0.267,0.32,0.032
FORD,"S-Max, Model Year Post 2010",2.0 Duratorq TDCi (140PS),M6,1997,Diesel,7.7,5,6,36.7,56.5,47.1,159,1609.92101910828,4,71,0.242,,0.291,0.324,0.036
FORD,"S-Max, Model Year Post 2010",2.0 Duratorq TDCi (140PS) (+DPF),A6,1997,Diesel,9.7,5.7,7.2,29.1,49.6,39.2,189,1934.3693877551,4,70,0.028,,0.302,0.308,0.001
FORD,"S-Max, Model Year Post 2010",2.2 Duratorq TDCi (175PS) (+DPF),M6,2179,Diesel,8.9,5.2,6.6,31.7,54.3,42.8,174,1771.66542056075,4,70,0.243,,0.275,0.32,0
FORD,"New S-Max, Model Year Post 2011¼",2.0 Duratorq TDCi (140PS) (+DPF),A6,1997,Diesel,9.7,5.7,7.2,29.1,49.6,39.2,189,1934.3693877551,4,70,0.028,,0.302,0.308,0.001
FORD,"New S-Max, Model Year Post 2011¼",2.2 Duratorq TDCi (175PS) (+DPF),M6,2179,Diesel,8.9,5.2,6.6,31.7,54.3,42.8,174,1771.66542056075,4,70,0.243,,0.275,0.32,0
FORD,"Galaxy, Model Year Pre 2010",2.0 Duratec (145PS),M5,1999,Petrol,11.2,6.5,8.2,25.2,43.5,34.4,197,2109.13255813953,4,72,0.506,0.064,0.052,,
FORD,"Galaxy, Model Year Pre 2010",2.0 Duratec Flexi-Fuel (145PS),M5,1999,Petrol / E85 (Flex Fuel),11.2,6.5,8.2,25.2,43.5,34.4,197,1221.07674418605,4,72,0.749,0.057,0.02,,
FORD,"Galaxy, Model Year Pre 2010",2.3 Duratec (160PS),A6,2261,Petrol,13.8,7.5,9.8,20.5,37.7,28.8,235,2519.24166666667,4,70,0.476,0.057,0.063,,
FORD,"Galaxy, Model Year Pre 2010",1.8 Duratorq TDCi (100PS),M5,1753,Diesel,8,5.2,6.2,35.3,54.3,45.6,165,1662.87894736842,4,70,0.585,,0.299,0.339,0.023
FORD,"Galaxy, Model Year Pre 2010",1.8 Duratorq TDCi (125PS),M5,1753,Diesel,8,5.2,6.2,35.3,54.3,45.6,165,1662.87894736842,4,70,0.585,,0.299,0.339,0.023
FORD,"Galaxy, Model Year Pre 2010",1.8 Duratorq TDCi (125PS),M6,1753,Diesel,8,5.3,6.3,35.3,53.3,44.8,166,1692.57321428571,4,70,0.502,,0.267,0.32,0.032
FORD,"Galaxy, Model Year Pre 2010",2.0 Duratorq TDCi (140PS),M6,1997,Diesel,7.7,5,6,36.7,56.5,47.1,159,1609.92101910828,4,71,0.242,,0.291,0.324,0.036
FORD,"Galaxy, Model Year Pre 2010",2.0 Duratorq TDCi (140PS) (+DPF),M6,1997,Diesel,7.7,5,6,36.7,56.5,47.1,159,1609.92101910828,4,71,0.242,,0.302,0.326,0.001
