Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Euro Standard,Noise Level dB(A),Emissions CO [g/km],Emissions HC [g/km],Emissions NOx [g/km],Emissions HC+NOx [g/km],Emissions Particulates [g/km]
CITROEN,C3,1.6HDi 90hp,M5,1560,Diesel,5.3,3.7,4.3,53.3,76.3,65.7,110,1154.14429223744,4,74.6,0.376,,0.22,0.237,0.016
CITROEN,C3,1.6HDi 92hp,M5,1560,Diesel,5.4,3.7,4.3,52.3,76.3,65.7,113,1154.14429223744,4,74.6,0.376,,0.22,0.237,0.016
CITROEN,C3 Picasso,1.4 VTi 95hp SH8FSC,M5,1397,Petrol,9.2,5.6,6.9,30.7,50.4,40.9,159,1773.94034229829,4,74,0.205,0.074,0.041,,
CITROEN,C3 Picasso,1.4 VTi 95hp SH8FSC/1,M5,1397,Petrol,9.1,5.5,6.7,31,51.4,42.2,155,1719.29289099526,4,74,0.205,0.074,0.041,,
CITROEN,C3 Picasso,1.6HDi 90hp,M5,1560,Diesel,5.6,4,4.5,50.4,70.6,62.8,119,1207.44076433121,4,73.8,0.145,,0.198,0.212,0.02
CITROEN,C3 Picasso,1.6HDi 110hp,M5,1560,Diesel,6.4,4.1,4.9,44.1,68.9,57.6,130,1316.44583333333,4,74.2,0.171,,0.245,0.269,0.002
CITROEN,C4 Picasso,1.6 VTi 120hp,M5,1598,Petrol,10,5.9,7.4,28.2,47.9,38.2,174,1899.32356020942,4,73.8,0.685,0.084,0.059,,
CITROEN,C4 Picasso,1.6HDi,M5,1560,Diesel,6.9,4.7,5.5,40.9,60.1,51.4,145,1475.23891050584,4,74.2,0.037,,0.24,0.258,0.004
CITROEN,C4 Picasso,1.6HDi EGS,A6,1560,Diesel,6.4,4.7,5.3,44.1,60.1,53.3,140,1422.65065666041,4,72.5,0.341,,0.236,0.267,0.004
CITROEN,C4 Picasso,2.0HDi EGS,A6,1997,Diesel,7.6,4.9,5.9,37.2,57.6,47.9,155,1583.03298538622,4,72.1,0.17,,0.235,0.256,0.001
CITROEN,Grand C4 Picasso,1.6 VTi 120hp,M5,1598,Petrol,10,5.9,7.4,28.2,47.9,38.2,174,1899.32356020942,4,73.8,0.685,0.084,0.059,,
CITROEN,Grand C4 Picasso,1.6 THP 150hp EGS,A6,1598,Petrol,9.9,5.8,7.3,28.5,48.7,38.7,173,1874.78449612403,4,73,0.287,0.03,0.018,,
CITROEN,Grand C4 Picasso,1.6HDi,M5,1560,Diesel,6.9,4.7,5.5,40.9,60.1,51.4,145,1475.23891050584,4,74.2,0.037,,0.24,0.258,0.004
CITROEN,Grand C4 Picasso,1.6HDi EGS,A6,1560,Diesel,6.4,4.7,5.3,44.1,60.1,53.3,140,1422.65065666041,4,72.5,0.341,,0.236,0.267,0.004
CITROEN,Grand C4 Picasso,2.0HDi EGS,A6,1997,Diesel,7.6,4.9,5.9,37.2,57.6,47.9,155,1583.03298538622,4,72.1,0.17,,0.235,0.256,0.001
CITROEN,C-Crosser,2.2HDi 7 seat Auto DCS,A6,2179,Diesel,9.3,6.1,7.3,30.4,46.3,38.7,192,1959.36124031008,4,72,0.124,,0.207,0.221,0.001
CITROEN,Nemo Multispace,1.4i,M5,1360,Petrol,8.4,5.7,6.7,33.6,49.6,42.2,157,1719.29289099526,4,70,0.416,0.028,0.025,,
CITROEN,Nemo Multispace,1.4 HDi,M5,1399,Diesel,5.7,3.8,4.5,49.6,74.3,52.8,119,1436.12272727273,4,71,0.143,,0.213,0.227,0.017
CITROEN,Nemo Multispace,1.4 HDi SensoDrive,A5,1399,Diesel,5.7,3.8,4.5,49.6,74.3,62.8,119,1207.44076433121,4,73,0.09,,0.206,0.222,0.021
CITROEN,Berlingo Multispace,1.6 HDi 75hp,M5,1560,Diesel,7,5,5.7,40.4,56.5,49.6,150,1528.77580645161,4,72.1,0.121,,0.188,0.204,0.022
CITROEN,Berlingo Multispace,1.6 HDi 90hp,M5,1560,Diesel,7,5,5.7,40.4,56.5,49.6,150,1528.77580645161,4,73.7,0.132,,0.201,0.222,0.024
CITROEN,Berlingo Multispace,1.6 HDi 110hp,M5,1560,Diesel,6.8,4.9,5.6,41.5,57.6,50.4,147,1504.50952380952,4,73.5,0.111,,0.202,0.226,0.002
CITROEN,Dispatch Combi,90 L1H1 6,M5,1560,Diesel,8.4,6.6,7.2,33.6,42.8,39.2,191,1934.3693877551,4,74.4,0.111,,0.325,0.35,0.037
CITROEN,Dispatch Combi,90 L2H1 6,M5,1560,Diesel,8.4,6.6,7.2,33.6,42.8,39.2,191,1934.3693877551,4,74.4,0.111,,0.325,0.35,0.037
CITROEN,Dispatch Combi,120 L1H1 6,M6,1997,Diesel,8.8,6.5,7.3,32.1,43.5,38.7,194,1959.36124031008,4,74.9,0.438,,0.282,0.319,0.053
CITROEN,Dispatch Combi,120 L2H1 6,M6,1997,Diesel,8.8,6.5,7.3,32.1,43.5,38.7,194,1959.36124031008,4,74.9,0.438,,0.282,0.319,0.053
CITROEN,Dispatch Combi,SX 120 L1H1 9,M6,1997,Diesel,8.8,6.5,7.3,32.1,43.5,38.7,194,1959.36124031008,4,74.9,0.438,,0.282,0.319,0.053
CITROEN,Dispatch Combi,SX 120 L2H1 9,M6,1997,Diesel,8.8,6.5,7.3,32.1,43.5,38.7,194,1959.36124031008,4,74.9,0.438,,0.282,0.319,0.053
CITROEN,Dispatch Combi,SX 136 L2H1 9,M6,1997,Diesel,8.8,6.5,7.3,32.1,43.5,38.7,194,1959.36124031008,4,73.8,0.062,,0.334,0.348,0.002
FIAT,Multipla,1.9 MultiJet 120,M5,1910,Diesel,7.9,5.2,6.2,35.8,54.3,45.6,164,1662.87894736842,4,73.5,0.068,,0.218,0.234,0.006
FIAT,Doblo,1.4 Low Roof,M5,1368,Petrol,9.2,6.3,7.4,30.7,44.8,38.2,174,1899.32356020942,4,73,0.349,0.03,0.049,,
FIAT,Doblo,1.4 High Roof,M5,1368,Petrol,9.4,6.5,7.6,30.1,43.5,37.2,178,1950.38064516129,4,73,0.349,0.03,0.049,,
FIAT,Doblo,1.9 MultiJet (120 bhp) Low Roof,M5,1910,Diesel,7.5,5.2,6.1,37.7,54.3,46.3,160,1637.73822894169,4,72.5,0.145,,0.211,0.236,0.003
FIAT,Doblo,1.9 MultiJet (120 bhp) High Roof,M5,1910,Diesel,7.7,5.3,6.2,36.7,53.3,45.6,163,1662.87894736842,4,72.5,0.145,,0.211,0.236,0.003
FIAT,Scudo,Combi 1.6 MultiJet 90,M5,1560,Diesel,8.1,6.6,7.2,34.9,42.8,39.2,189,1934.3693877551,4,74.4,0.25,,0.326,0.356,0.035
FIAT,Scudo,Combi and Panorama 2.0 MultiJet 120,M6,1997,Diesel,8.7,6.4,7.2,32.5,44.1,39.2,189,1934.3693877551,4,74.9,0.438,,0.282,0.319,0.053
FIAT,Ducato,Combi 2.3 MultiJet 120 short wheelbase,M6,2287,Diesel,8.3,6.5,7.2,34,43.5,39.2,190,1934.3693877551,4,72,0.091,,0.352,0.396,0.053
FIAT,Ducato,Combi 2.3 MultiJet 120 medium wheelbase High Roof,M6,2287,Diesel,8.8,6.8,7.5,32.1,41.5,37.7,199,2011.33368700265,4,72,0.091,,0.352,0.396,0.053
FORD,"Ka, Model Year - Pre 2011",1.2 Duratec (69PS),M5,1242,Petrol,6.3,4.4,5.1,44.8,64.2,55.4,119,1309.64187725632,4,72,0.15,0.038,0.01,,
FORD,"Ka, Model Year - Pre 2011",1.3 Duratorq (75PS),M5,1248,Diesel,5.2,3.7,4.2,54.3,76.3,67.3,112,1126.70549777117,4,71.5,0.125,,0.187,0.211,0.024
FORD,"Ka, Model Year - Post 2011",1.3 Duratorq (75PS),M5,1248,Diesel,5.2,3.7,4.2,54.3,76.3,67.3,112,1126.70549777117,4,71.5,0.125,,0.187,0.211,0.024
FORD,"Fiesta, Model Year Pre 2010¼ ",1.25 Duratec (60PS),M5,1242,Petrol,7.3,4.3,5.4,38.7,65.7,52.3,128,1387.26883365201,4,71,0.519,0.084,0.027,,
FORD,"Fiesta, Model Year Pre 2010¼ ",1.25 Duratec (82PS),M5,1242,Petrol,7.5,4.6,5.7,37.7,61.4,49.6,133,1462.78548387097,4,72,0.519,0.084,0.027,,
FORD,"Fiesta, Model Year Pre 2010¼ ",1.4 Duratec (96PS),M5,1388,Petrol,7.5,4.6,5.7,37.7,61.4,49.6,133,1462.78548387097,4,71,0.353,0.09,0.058,,
FORD,"Fiesta, Model Year Pre 2010¼ ",1.4 Duratec (96PS),A4,1388,Petrol,8.9,5.1,6.5,31.7,55.4,43.5,154,1667.91172413793,4,69,0.296,0.072,0.048,,
FORD,"Fiesta, Model Year Pre 2010¼ ",1.6 Duratec TI-VCT (120PS),M5,1596,Petrol,7.9,4.7,5.9,35.8,60.1,47.9,139,1514.7006263048,4,72,0.334,0.069,0.016,,
FORD,"Fiesta, Model Year Pre 2010¼ ",1.4 Duratorq TDCi (68PS),M5,1399,Diesel,5.3,3.5,4.2,53.3,80.7,67.3,110,1126.70549777117,4,70,0.117,,0.201,0.215,0.018
FORD,"Fiesta, Model Year Pre 2010¼ ",1.6 Duratorq TDCi (90PS),M5,1560,Diesel,5.2,3.6,4.2,54.3,78.5,67.3,110,1126.70549777117,4,71,0.141,,0.225,0.255,0.023
FORD,"Fiesta, Model Year Pre 2010¼ ",1.6 Duratorq TDCi (90PS) (+DPF) (ECO),M5,1560,Diesel,4.6,3.2,3.7,61.4,88.3,76.3,98,993.804456094364,4,69,0.155,,0.217,0.231,0
FORD,"Fiesta, Model Year Post 2010¼ ",1.4 Duratorq TDCi (68PS),M5,1399,Diesel,5.3,3.5,4.2,53.3,80.7,67.3,110,1126.70549777117,4,70,0.117,,0.201,0.215,0.018
FORD,"Fiesta, Model Year Post 2010¼ ",1.6 Duratorq TDCi (90PS) (+DPF) (ECO),M5,1560,Diesel,4.6,3.2,3.7,61.4,88.3,76.3,98,993.804456094364,4,69,0.155,,0.217,0.231,0
FORD,"Fusion, Model Year Pre 2011",1.4 Duratec (80PS),M5,1388,Petrol,8.5,5.3,6.5,33.2,53.3,43.5,154,1667.91172413793,4,71,0.311,0.044,0.053,,
FORD,"Fusion, Model Year Pre 2011",1.4 Duratec (80PS),ASM  ,1388,Petrol,8.5,5,6.3,33.2,56.5,44.8,149,1619.5125,4,71,0.245,0.044,0.065,,
FORD,"Fusion, Model Year Pre 2011",1.6 Duratec (100PS),M5,1596,Petrol,8.9,5.3,6.6,31.7,53.3,42.8,157,1695.19065420561,4,71,0.226,0.059,0.06,,
FORD,"Fusion, Model Year Pre 2011",1.6 Duratec (100PS),A4,1596,Petrol,10.2,6,7.5,27.7,47.1,37.7,179,1924.51352785146,4,70,0.489,0.075,0.062,,
FORD,"Fusion, Model Year Pre 2011",1.4 Duratorq TDCi (68PS),M5,1399,Diesel,5.7,3.9,4.5,49.6,72.4,62.8,120,1207.44076433121,4,71,0.053,,0.201,0.261,0.019
FORD,"Fusion, Model Year Pre 2011",1.6 Duratorq TDCi (90PS),M5,1560,Diesel,5.5,4,4.5,51.4,70.6,62.8,119,1207.44076433121,4,71,0.173,,0.192,0.207,0.02
FORD,"Focus Coupé-Cabriolet, Model Year Post 2007",1.6 Duratec (100PS),M5,1596,Petrol,9.4,5.8,7.1,30.1,48.7,39.8,169,1822.96884422111,4,71,0.547,0.072,0.05,,
FORD,"Focus Coupé-Cabriolet, Model Year Post 2007",2.0 Duratec (145PS),M5,1999,Petrol,10.6,5.7,7.5,26.6,49.6,37.7,179,1924.51352785146,4,74,0.501,0.084,0.04,,
FORD,"Focus Coupé-Cabriolet, Model Year Post 2007",2.0 Duratec (145PS),A4,1999,Petrol,11.8,6.3,8.3,23.9,44.8,34,199,2133.94588235294,4,71,0.509,0.087,0.061,,
FORD,"Focus Coupé-Cabriolet, Model Year Post 2007",2.0 Duratorq TDCi (136PS) (+DPF),M6,1997,Diesel,7.7,4.9,5.9,36.7,57.6,47.9,156,1583.03298538622,4,72,0.056,,0.208,0.22,0.003
FORD,"Focus, Model Year Pre 2010¼",1.4 Duratec (80PS) 3/5 Door Saloon,M5,1388,Petrol,8.6,5.3,6.5,32.8,53.3,43.5,155,1667.91172413793,4,72,0.517,0.09,0.038,,
FORD,"Focus, Model Year Pre 2010¼",1.6 Duratec (100PS) 3/4/5 Door Saloon ,M5,1596,Petrol,8.7,5.5,6.7,32.5,51.4,42.2,159,1719.29289099526,4,71,0.547,0.072,0.05,,
FORD,"Focus, Model Year Pre 2010¼",1.6 Duratec (100PS) Estate,M5,1596,Petrol,8.7,5.5,6.7,32.5,51.4,42.2,159,1719.29289099526,4,71,0.547,0.072,0.05,,
FORD,"Focus, Model Year Pre 2010¼",1.6 Duratec (100PS) 3 Door Saloon,A4,1596,Petrol,10.3,5.8,7.5,27.4,48.7,37.7,179,1924.51352785146,4,70,0.25,0.071,0.06,,
FORD,"Focus, Model Year Pre 2010¼",1.6 Duratec (100PS) 4/5 Door Saloon,A4,1596,Petrol,10.6,6,7.7,26.6,47.1,36.7,184,1976.95258855586,4,70,0.25,0.071,0.06,,
FORD,"Focus, Model Year Pre 2010¼",1.6 Duratec (100PS) Estate,A4,1596,Petrol,10.6,6,7.7,26.6,47.1,36.7,184,1976.95258855586,4,70,0.25,0.071,0.06,,
FORD,"Focus, Model Year Pre 2010¼",1.6 Duratec Ti-VCT (115PS) 3/5 Door Saloon,M5,1596,Petrol,8.7,5.4,6.6,32.5,52.3,42.8,157,1695.19065420561,4,71,0.58,0.078,0.031,,
