Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Euro Standard,Noise Level dB(A),Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km],Particulates [No.] [mg/km]
ASTON MARTIN LAGONDA,DBS,Coupé & Convertible March 2010 onwards,A6,5935,Petrol,24.2,10.5,15.5,11.7,26.9,18.2,367,3986.49230769231,5,74,577,61,11,,
ASTON MARTIN LAGONDA,DBS,Coupé & Convertible March 2010 onwards,M6,5935,Petrol,24.3,11.7,16.4,11.6,24.1,17.2,388,4218.26511627907,5,75,325,32,12,,
ASTON MARTIN LAGONDA,"Rapide, Model Year 2010",4 Door Sports March 2010 onwards,A6,5935,Petrol,22.6,10.4,14.9,12.5,27.2,19,355,3818.64,5,74,543,53,15,,
ASTON MARTIN LAGONDA,"Cygnet, MY2011",6MT,6MT,1329,Petrol,5.8,4.5,5,48.7,62.8,56.5,116,1284.14442477876,5,69.5,296,34,20,,
ASTON MARTIN LAGONDA,"Cygnet, MY2011",CVT,CVT,1329,Petrol,6.1,4.6,5.2,46.3,61.4,54.3,120,1336.17237569061,5,67.3,213,40,6,,
ASTON MARTIN LAGONDA,"Virage, MY2012",Virage Auto,A6,5935,Petrol,22.3,10.8,15,12.7,26.2,18.8,349,3859.26382978723,5,74,574,61,11,,
AUDI,A1,1.2 TFSI 86PS Stop-Start,M5,1197,Petrol,6.2,4.4,5.1,45.6,64.2,55.4,118,1309.64187725632,5,72,664,42,39,,
AUDI,A1,1.4 TFSI 122PS Stop-Start,M6,1390,Petrol,6.8,4.4,5.3,41.5,64.2,53.3,124,1361.24127579737,5,72,328,38,31,,
AUDI,A1,1.4 TFSI S line 122PS 7speed S-Tronic Stop-Start,D7,1390,Petrol,6.5,4.6,5.3,43.5,61.4,53.3,122,1361.24127579737,5,71,411,42,34,,
AUDI,A1,1.4 TFSI Sport 122PS 7speed S-Tronic Stop-Start,D7,1390,Petrol,6.5,4.4,5.2,43.5,64.2,54.3,122,1336.17237569061,5,71,411,42,34,,
AUDI,A1,1.4 TFSI S line 185PS 7speed S-Tronic Stop-Start,D7,1390,Petrol,7.5,5.1,5.9,37.7,55.4,47.9,139,1514.7006263048,5,72,229,43,35,,
AUDI,A1,1.6 TDI 105PS ,M5,1598,Diesel,4.4,3.4,3.8,64.2,83.1,74.3,99,1020.55558546433,5,71,310,,118,156,0
AUDI,A3,1.2 FSI 105PS with Stop-Start,M6,1197,Petrol,6.7,4.7,5.5,42.2,60.1,51.4,127,1411.55953307393,5,71,399,35,30,,
AUDI,A3,1.2 FSI 105PS 7speed S-Tronic with Stop-Start,D7,1197,Petrol,6.5,4.6,5.3,43.5,61.4,53.3,123,1361.24127579737,5,70,465,25,21,,
AUDI,A3,1.4 TFSI 125PS,M6,1390,Petrol,7.3,4.8,5.7,38.7,58.9,49.6,132,1462.78548387097,5,73,239,25,22,,
AUDI,A3,1.4 TSI 125PS with Stop-Start,M6,1390,Petrol,7.3,4.8,5.7,38.7,58.9,49.6,132,1462.78548387097,5,73,239,25,22,,
AUDI,A3,1.4 TFSI 125PS 7speed DSG,D7,1390,Petrol,6.4,4.7,5.3,44.1,60.1,53.3,124,1361.24127579737,5,70,409,48,45,,
AUDI,A3,1.4 TSI 125PS 7speed S-Tronic with Stop-Start,D7,1390,Petrol,6.4,4.7,5.3,44.1,60.1,53.3,124,1361.24127579737,5,70,409,48,45,,
AUDI,A3,1.6 MPI 102PS ,M5,1598,Petrol,9.3,5.5,6.9,30.4,51.4,40.9,162,1773.94034229829,5,70,430,44,29,,
AUDI,A3,1.6 TDIe 105PS with Stop-Start ,M5,1598,Diesel,4.7,3.3,3.8,60.1,85.6,74.3,99,1020.55558546433,5,72,283,,122,153,1.1
AUDI,A3,1.6 TDI 105PS Stop Start S-Tronic,D7,1598,Diesel,4.5,3.9,4.2,62.8,72.4,67.3,109,1126.70549777117,5,69,113,,122,140,0.1
AUDI,A3,1.6 TDI 105PS S-Tronic,D7,1598,Diesel,4.5,3.9,4.2,62.8,72.4,67.3,109,1126.70549777117,5,69,113,,122,140,0.1
AUDI,A3,1.6 TDI 105PS with Stop-Start,M5,1598,Diesel,5,3.7,4.1,56.5,76.3,68.9,109,1100.54107402032,5,72,252,,158,183,0
AUDI,A3,1.8 TFSI 160PS,M6,1781,Petrol,8.7,5.3,6.6,32.5,53.3,42.8,152,1695.19065420561,5,74,618,71,57,,
AUDI,A3,1.8 TFSI 160PS S-Tronic,D7,1781,Petrol,8.5,5.2,6.5,33.2,54.3,43.5,149,1667.91172413793,5,73,459,49,38,,
AUDI,A3,2.0 TDI 140PS S-Tronic,D6,1968,Diesel,5.8,4.4,4.9,48.7,64.2,57.6,129,1316.44583333333,5,73,151,,105,126,0.1
AUDI,A3,2.0 CR TDI 140PS with Stop-Start,M6,1968,Diesel,5.5,3.8,4.4,51.4,74.3,64.2,115,1181.11028037383,5,75,276,,127,160,0
AUDI,A3,2.0 TDI 170PS quattro with Stop-Start ,QM6,1968,Diesel,6.1,4.6,5.2,46.3,61.4,54.3,135,1396.45082872928,5,73,241,,120,160,0.1
