Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Euro Standard,Noise Level dB(A),Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km],Particulates [No.] [mg/km]
FIAT,Bravo,1.6 16v MultiJet 120 Dualogic,SAT6,1598,Diesel,5.9,3.8,4.6,47.9,74.3,61.4,120,1234.97198697068,5,72,339,,169,197,2
FIAT,Bravo,2.0 16v MultiJet 165 ,M6,1956,Diesel,6.7,4.2,5.1,42.2,67.3,55.4,135,1368.72346570397,5,73.4,215,,165,204,3
FIAT,Qubo,1.4,M5,1360,Petrol,8.2,5.6,6.6,34.4,50.4,42.8,152,1695.19065420561,5,72.5,562,41,23,,
FIAT,Qubo,1.3 16v MultiJet 75,M5,1248,Diesel,5.1,3.8,4.3,55.4,74.3,65.7,113,1154.14429223744,5,74,172,,167,186,1
FIAT,Qubo,1.3 16v MultiJet 75 Dualogic ,SAT5,1248,Diesel,5,3.8,4.2,56.5,74.3,67.3,112,1126.70549777117,5,74.5,138,,174,191,2
FIAT,Qubo,1.3 16v MultiJet 95,M5,1248,Diesel,5.2,3.8,4.3,54.3,74.3,65.7,113,1154.14429223744,5,75,272,,159,182,3
FIAT,Fiorino,Combi 5 seat 1.4 ,M5,1360,Petrol,8.2,5.6,6.6,34.4,50.4,42.8,152,1695.19065420561,5,72.5,562,41,23,,
FIAT,Fiorino,Combi 5 seat 1.3 MultiJet 75 ,M5,1248,Diesel,5.1,3.8,4.3,55.4,74.3,65.7,113,1154.14429223744,5,74,172,,167,186,1
FIAT,Fiorino,Combi 5 seat 1.3 MultiJet 75 Comfort-matic ,SAT5,1248,Diesel,5,3.8,4.2,56.5,74.3,67.3,112,1126.70549777117,5,74.5,138,,174,191,2
FIAT,Fiorino,Combi 5 seat 1.3 MultiJet 95,M5,1248,Diesel,5.2,3.8,4.3,54.3,74.3,65.7,113,1154.14429223744,5,75,272,,159,182,3
FIAT,New Doblo,1.4,M5,1368,Petrol,9.3,5.9,7.2,30.4,47.9,39.2,166,1850.87142857143,5,72,593,38,30,,
FIAT,New Doblo,1.4 High Roof,M5,1368,Petrol,9.5,6.1,7.4,29.7,46.3,38.2,171,1899.32356020942,5,72,555,47,29,,
FIAT,New Doblo,1.6 MultiJet 90 Dualogic,SAT5,1598,Diesel,5.6,4.7,5,50.4,60.1,56.5,133,1342.07575221239,5,74,119,,140,178,1
FIAT,New Doblo,1.6 MultiJet 90 Dualogic High Roof,SAT5,1598,Diesel,5.9,5.3,5.5,47.9,53.3,51.4,145,1475.23891050584,5,74,143,,165,211,3
FIAT,New Doblo,1.6 MultiJet 105,M6,1598,Diesel,6.1,4.7,5.2,46.3,60.1,54.3,138,1396.45082872928,5,71.5,290,,156,211,1
FIAT,New Doblo,1.6 MultiJet 105 High Roof,M6,1598,Diesel,6.3,5.2,5.6,44.8,54.3,50.4,148,1504.50952380952,5,71.5,173,,200,205,1.3
FIAT,New Doblo,2.0 MultiJet,M6,1956,Diesel,6.7,5.1,5.7,42.2,55.4,49.6,150,1528.77580645161,5,74.5,225,,177,211,1
FIAT,New Doblo,2.0 MultiJet High Roof,M6,1956,Diesel,6.8,5.5,6,41.5,51.4,47.1,157,1609.92101910828,5,74.5,180,,171,215,1.5
FIAT,Scudo,Combi and Panorama 2.0 MultiJet 163,M6,1997,Diesel,8.2,6.3,7,34.4,44.8,40.4,183,1876.91287128713,5,75,519,,236,286,1
FORD,"Fiesta, Model Year Pre 2010¼ ",1.25 Duratec (60PS),M5,1242,Petrol,7.3,4.4,5.5,38.7,64.2,51.4,127,1411.55953307393,5,71,519,51,28,,
FORD,"Fiesta, Model Year Pre 2010¼ ",1.25 Duratec (82PS),M5,1242,Petrol,7.5,4.7,5.7,37.7,60.1,49.6,133,1462.78548387097,5,72,342,52,24,,
FORD,"Fiesta, Model Year Post 2010¼ ",1.25 Duratec (60PS),M5,1242,Petrol,7.3,4.4,5.5,38.7,64.2,51.4,127,1411.55953307393,5,71,519,51,28,,
FORD,"Fiesta, Model Year Post 2010¼ ",1.25 Duratec (82PS),M5,1242,Petrol,7.4,4.5,5.6,38.2,62.8,50.4,129,1439.56666666667,5,72,342,52,24,,
FORD,"Fiesta, Model Year Post 2010¼ ",1.4 Duratec (96PS),M5,1388,Petrol,7.6,4.7,5.8,37.2,60.1,48.7,133,1489.81848049281,5,71,276,67,49,,
FORD,"Fiesta, Model Year Post 2010¼ ",1.4 Duratec (96PS),A4,1388,Petrol,8.9,5.2,6.6,31.7,54.3,42.8,154,1695.19065420561,5,69,358,60,48,,
FORD,"Fiesta, Model Year Post 2010¼ ",1.6 Duratec (120PS),M5,1596,Petrol,7.9,4.6,5.8,35.8,61.4,48.7,134,1489.81848049281,5,72,518,51,23,,
FORD,"Fiesta, Model Year Post 2010¼ ",1.4 Duratorq TDCi (70PS),M5,1399,Diesel,4.8,3.6,4.1,58.9,78.5,68.9,107,1100.54107402032,5,69,343,,161,197,1
FORD,"Fiesta, Model Year Post 2011½",1.6 Duratec (134PS),M5,1596,Petrol,8,4.8,5.9,35.3,58.9,47.9,139,1514.7006263048,5,74,336,55,18,,
FORD,"Fiesta, Model Year Pre 2011¾ ",1.6 Duratorq (95PS) (+DPF),M5,1560,Diesel,4.9,3.6,4.1,57.6,78.5,68.9,107,1100.54107402032,5,70,296,,168,194,1
FORD,"Fiesta, Model Year Pre 2011¾ ",1.6 Duratorq (95PS) (+DPF) (ECO),M5,1560,Diesel,4.6,3.2,3.7,61.4,88.3,76.3,98,993.804456094364,5,69,361,,155,185,1
FORD,"Fusion, Model Year Post 2011",1.4 Duratec (80PS),M5,1388,Petrol,8.8,5.4,6.6,32.1,52.3,42.8,154,1695.19065420561,5,71,314,59,46,,
FORD,"Fusion, Model Year Post 2011",1.6 Duratec (100PS),M5,1596,Petrol,9.1,5.4,6.7,31,52.3,42.2,157,1719.29289099526,5,71,170,46,47,,
FORD,"Focus, Model Year Pre 2010¼",1.6 Duratorq TDCi (90PS) 5 Door Saloon,M5,1560,Diesel,5.8,3.8,4.5,48.7,74.3,62.8,119,1207.44076433121,5,69,453,,132,152,0.5
FORD,"Focus, Model Year Pre 2010¼",1.6 Duratorq TDCi (90PS) Estate,M5,1560,Diesel,5.8,3.8,4.5,48.7,74.3,62.8,119,1207.44076433121,5,69,453,,132,152,0.5
FORD,"Focus, Model Year Pre 2010¼",1.6 Duratorq TDCi (109PS) Estate (+DPF),M5,1560,Diesel,5.8,3.8,4.5,48.7,74.3,62.8,119,1207.44076433121,5,70,453,,132,152,0.5
FORD,"Focus, Model Year Post 2010¼",1.6 Duratorq TDCi (90PS) 3/5 Door Saloon,M5,1560,Diesel,5.6,3.7,4.4,50.4,76.3,64.2,115,1181.11028037383,5,69,347,,132,152,0.5
FORD,"Focus, Model Year Post 2010¼",1.6 Duratorq TDCi (90PS) Estate,M5,1560,Diesel,5.6,3.7,4.4,50.4,76.3,64.2,115,1181.11028037383,5,69,347,,132,152,0.5
FORD,"Focus, Model Year Post 2010¼",1.6 Duratorq TDCi (109PS) 3/5 Door Saloon (+DPF),M5,1560,Diesel,5.6,3.7,4.4,50.4,76.3,64.2,115,1181.11028037383,5,70,347,,132,152,0.5
FORD,"Focus, Model Year Post 2010¼",1.6 Duratorq TDCi (109PS) Estate (+DPF),M5,1560,Diesel,5.6,3.7,4.4,50.4,76.3,64.2,115,1181.11028037383,5,70,347,,132,152,0.5
FORD,"New Focus, Model Year Post 2011½",1.6 Duratec Ti-VCT (105PS) 5 Door,M5,1596,Petrol,8,4.7,5.9,35.3,60.1,47.9,136,1514.7006263048,5,69,435,61,41,,
FORD,"New Focus, Model Year Post 2011½",1.6 Duratec Ti-VCT (105PS) Stop-Start Estate,M5,1596,Petrol,8.1,4.8,6,34.9,58.9,47.1,139,1540.42802547771,5,69,435,61,41,,
FORD,"New Focus, Model Year Post 2011½",1.6 Duratec Ti-VCT (125PS) 5 Door,M5,1596,Petrol,8,4.7,5.9,35.3,60.1,47.9,136,1514.7006263048,5,68,342,57,51,,
FORD,"New Focus, Model Year Post 2011½",1.6 Duratec Ti-VCT (125PS) Estate,M5,1596,Petrol,8.1,4.8,6,34.9,58.9,47.1,139,1540.42802547771,5,68,342,57,51,,
FORD,"New Focus, Model Year Post 2011½",1.6 EcoBoost Stop-Start (150PS) 5 Door ,M6,1596,Petrol,7.7,5,6,36.7,56.5,47.1,139,1540.42802547771,5,70,340,56,34,,
FORD,"New Focus, Model Year Post 2011½",1.6 EcoBoost (150PS) Estate,M6,1596,Petrol,8.3,5,6.5,34,56.5,43.5,144,1667.91172413793,5,70,340,56,34,,
FORD,"New Focus, Model Year Post 2011½",1.6 EcoBoost Stop-Start (150PS) Estate,M6,1596,Petrol,7.7,5,6,36.7,56.5,47.1,139,1540.42802547771,5,70,340,56,34,,
FORD,"New Focus, Model Year Post 2011½",1.6 Duratec (179PS) Estate,M6,1596,Petrol,8.3,5,6.2,34,56.5,45.6,144,1591.1,5,70,340,56,34,,
FORD,"New Focus, Model Year Post 2011½",1.6 Duratec Stop-Start (179PS) Estate,M6,1596,Petrol,7.7,5,6,36.7,56.5,47.1,139,1540.42802547771,5,70,340,56,34,,
FORD,"New Focus, Model Year Post 2011½",1.6 Duratec (125PS) Estate,M5,1596,Petrol,8.1,4.8,6,34.9,58.9,47.1,139,1540.42802547771,5,70,342,57,51,,
FORD,"New Focus, Model Year Post 2011½",1.6 Duratorq TDCi Stop-Start (95PS) 5 Door (+DPF),M6,1560,Diesel,5.1,3.7,4.2,55.4,76.3,67.3,109,1126.70549777117,5,66,359,,152,178,1
FORD,"New Focus, Model Year Post 2011½",1.6 Duratorq TDCi (95PS) Estate (+DPF),M6,1560,Diesel,5.7,3.7,4.5,49.6,76.3,67.3,117,1126.70549777117,5,66,359,,152,178,1
FORD,"New Focus, Model Year Post 2011½",1.6 Duratorq TDCi Stop-Start (95PS) Estate (+DPF),M6,1560,Diesel,5.1,3.7,4.2,55.4,76.3,67.3,109,1126.70549777117,5,66,359,,152,178,1
FORD,"New Focus, Model Year Post 2011½",1.6 Duratorq TDCi Stop-Start (115PS) 5 Door (+DPF),M6,1560,Diesel,5.1,3.7,4.2,55.4,76.3,67.3,109,1126.70549777117,5,66,359,,152,178,1
FORD,"New Focus, Model Year Post 2011½",1.6 Duratorq TDCi (115PS) Estate (+DPF),M6,1560,Diesel,5.7,3.7,4.5,49.6,76.3,67.3,117,1126.70549777117,5,66,359,,152,178,1
FORD,"New Focus, Model Year Post 2011½",1.6 Duratorq TDCi Stop-Start (115PS) Estate (+DPF),M6,1560,Diesel,5.1,3.7,4.2,55.4,76.3,67.3,109,1126.70549777117,5,66,359,,152,178,1
FORD,"New Focus, Model Year Post 2011½",2.0 Duratorq TDCi (115PS) Estate (+DPF),A6,1997,Diesel,6.8,4.4,5.3,41.5,64.2,53.3,139,1422.65065666041,5,69,178,,166,185,0.2
FORD,"New Focus, Model Year Post 2011½",2.0 Duratorq TDCi (140PS) 5 Door (+DPF),M6,1997,Diesel,6.3,4.2,5,44.8,67.3,56.5,129,1342.07575221239,5,69,253,,140,166,0
FORD,"New Focus, Model Year Post 2011½",2.0 Duratorq TDCi (140PS) 5 Door (+DPF),A6,1997,Diesel,6.8,4.4,5.3,41.5,64.2,53.3,139,1422.65065666041,5,69,178,,166,185,0
FORD,"New Focus, Model Year Post 2011½",2.0 Duratorq TDCi (140PS) Estate (+DPF),M6,1997,Diesel,6.3,4.2,5,44.8,67.3,56.5,129,1342.07575221239,5,69,253,,140,166,0
FORD,"New Focus, Model Year Post 2011½",2.0 Duratorq TDCi (140PS) Estate (+DPF),A6,1997,Diesel,6.8,4.4,5.3,41.5,64.2,53.3,139,1422.65065666041,5,69,178,,166,185,0
FORD,"New Focus, Model Year Post 2011½",2.0 Duratorq TDCi (163PS) 5 Door (+DPF),M6,1997,Diesel,6.3,4.2,5,44.8,67.3,56.5,129,1342.07575221239,5,69,253,,140,166,0
FORD,"New Focus, Model Year Post 2011½",2.0 Duratorq TDCi (163PS) 5 Door (+DPF),A6,1997,Diesel,6.8,4.4,5.3,41.5,64.2,53.3,139,1422.65065666041,5,69,178,,166,185,0
FORD,"New Focus, Model Year Post 2011½",2.0 Duratorq TDCi (163PS) Estate (+DPF),M6,1997,Diesel,6.3,4.2,5,44.8,67.3,56.5,129,1342.07575221239,5,69,253,,140,166,0
FORD,"New Focus, Model Year Post 2011½",2.0 Duratorq TDCi (163PS) Estate (+DPF),A6,1997,Diesel,6.8,4.4,5.3,41.5,64.2,53.3,139,1422.65065666041,5,69,178,,166,185,0
FORD,"New Focus, Model Year Post 2011¾",2.0 GDI (160PS) Estate & Saloon,M6,1976,Petrol,9.6,5,6.7,29.4,56.5,42.2,156,1719.29289099526,5,71,923,36,19,,
FORD,"New Focus, Model Year Post 2011¾",2.0 GDI (160PS) Estate & Saloon,A6,1976,Petrol,9.1,4.9,6.4,31,57.6,44.1,149,1645.21904761905,5,73,654,61,27,,
FORD,"New Focus, Model Year Post 2011¾",1.6 Duratec Ti-VCT (125PS)  Sedan,M5,1596,Petrol,8,4.7,5.9,35.3,60.1,47.9,136,1514.7006263048,5,71,313,50,20,,
FORD,"New Focus, Model Year Post 2011¾",1.6 Duratec Ti-VCT (125PS)  Sedan,M5,1596,Petrol / E85 (Flex Fuel),10.9,6.4,8.1,25.9,44.1,34.9,132,1203.58280802292,5,71,448,80,15,,
FORD,"New Focus, Model Year Post 2011¾",1.6 Duratec Ti-VCT (125PS) Saloon & Estate,M5,1596,Petrol,8.1,4.8,6,34.9,58.9,47.1,139,1540.42802547771,5,71,313,50,20,,
FORD,"New Focus, Model Year Post 2011¾",1.6 Duratec Ti-VCT (125PS) Saloon & Estate,M5,1596,Petrol / E85 (Flex Fuel),11.3,6.5,8.3,25,43.5,34,135,1235.44235294118,5,71,448,80,15,,
FORD,"New C-MAX, Model Year Post 2011",1.6 Duratec Ti-VCT (105PS),M5,1596,Petrol,8.7,5.3,6.6,32.5,53.3,42.8,154,1695.19065420561,5,70,435,61,41,,
FORD,"New C-MAX, Model Year Post 2011",1.6 Duratec Ti-VCT (125PS),M5,1596,Petrol,8.7,5.3,6.6,32.5,53.3,42.8,154,1695.19065420561,5,71,342,57,51,,
FORD,"New C-MAX, Model Year Post 2011",1.6 EcoBoost SCTi (150PS),M6,1596,Petrol,8.8,5.3,6.6,32.1,53.3,42.8,154,1695.19065420561,5,69,340,56,34,,
FORD,"New C-MAX, Model Year Post 2011",1.6 Duratorq TDCi (115PS) (+DPF),M6,1560,Diesel,5.4,4.1,4.6,52.3,68.9,61.4,119,1234.97198697068,5,68,440,,176,204,1
FORD,"New C-MAX, Model Year Post 2011",2.0 Duratorq TDCi (140PS) (+DPF),M6,1997,Diesel,6.4,4.4,5.1,44.1,64.2,55.4,134,1368.72346570397,5,71,253,,140,166,0
FORD,"New C-MAX, Model Year Post 2011",2.0 Duratorq TDCi (140PS) (+DPF),A6,1997,Diesel,7.1,4.8,5.6,39.8,58.9,50.4,149,1504.50952380952,5,69,178,,166,185,0
FORD,"New C-MAX, Model Year Post 2011½",1.6 EcoBoost SCTi Stop-Start (150PS),M6,1596,Petrol,8,5.3,6.4,35.3,53.3,44.1,149,1645.21904761905,5,69,340,56,34,,
FORD,"New C-MAX, Model Year Post 2011½",1.6 Duratec GTDi Stop-Start (182PS),M6,1596,Petrol,8,5.3,6.4,35.3,53.3,44.1,149,1645.21904761905,5,69,340,56,34,,
FORD,"New C-MAX, Model Year Post 2011¾",1.6 Duratec Ti-VCT (120PS) FFV ,M5,1596,Petrol,8.7,5.3,6.6,32.5,53.3,42.8,154,1695.19065420561,5,71,314,50,19.5,,
FORD,"New C-MAX, Model Year Post 2011¾",1.6 Duratec Ti-VCT (120PS) FFV ,M5,1596,Petrol / E85 (Flex Fuel),11.2,6.9,8.5,25.2,40.9,33.2,139,1265.21204819277,5,71,448,80,14.9,,
FORD,"Grand C-MAX, Model Year Post 2011",1.6 Duratec Ti-VCT (125PS),M5,1596,Petrol,8.9,5.7,6.9,31.7,49.6,40.9,159,1773.94034229829,5,68,342,57,51,,
FORD,"Grand C-MAX, Model Year Post 2011",1.6 EcoBoost SCTi (150PS),M6,1596,Petrol,9.2,5.5,6.9,30.7,51.4,40.9,159,1773.94034229829,5,69,340,56,34,,
FORD,"Grand C-MAX, Model Year Post 2011",1.6 Duratorq TDCi (115PS) (+DPF),M6,1560,Diesel,5.8,4.4,4.9,48.7,64.2,57.6,129,1316.44583333333,5,69,347,,174,198,1
FORD,"Grand C-MAX, Model Year Post 2011",2.0 Duratorq TDCi (140PS) (+DPF),M6,1997,Diesel,6.6,4.5,5.3,42.8,62.8,53.3,139,1422.65065666041,5,71,290,,146,180,1
FORD,"Grand C-MAX, Model Year Post 2011",2.0 Duratorq TDCi (140PS) (+DPF),A6,1997,Diesel,7.4,5,5.8,38.2,56.5,48.7,154,1557.02833675565,5,70,178,,166,185,0
FORD,"Grand C-MAX, Model Year Post 2011½",1.6 EcoBoost SCTi Stop-Start (150PS),M6,1596,Petrol,8.2,5.5,6.2,34.4,51.4,45.6,154,1591.1,5,69,340,56,34,,
FORD,"Grand C-MAX, Model Year Post 2011½",1.6 Duratec GTDi Stop-Start (182PS),M6,1596,Petrol,8.2,5.5,6.6,34.4,51.4,42.8,149,1695.19065420561,5,69,340,56,34,,
FORD,"Kuga, Model Year Post 2010¾",2.5 Duratec (200PS),A5-AWD,2521,Petrol,14.6,7.8,10.3,19.3,36.2,27.4,244,2647.96204379562,5,72,175,43,24,,
FORD,"Kuga, Model Year Post 2010¾",2.5 Duratec (200PS),M6-AWD,2521,Petrol,13.9,7.6,9.9,20.3,37.2,28.5,234,2545.76,5,70,313,44,21,,
FORD,"Kuga, Model Year Post 2010¾",2.0 Duratorq TDCi (140PS) (+DPF),M6,1997,Diesel,7.5,5,5.9,37.7,56.5,47.9,156,1583.03298538622,5,72,218,,170,205,1
FORD,"Kuga, Model Year Post 2010¾",2.0 Duratorq TDCi (140PS) (+DPF),M6-AWD,1997,Diesel,7.6,5.1,6,37.2,55.4,47.1,159,1609.92101910828,5,72,218,,170,205,1
FORD,"Kuga, Model Year Post 2010¾",2.0 Duratorq TDCi (140PS) (+DPF),A6-AWD,1997,Diesel,8.5,5.8,6.8,33.2,48.7,41.5,179,1827.16337349398,5,69,115,,172,192,1
FORD,"Kuga, Model Year Post 2010¾",2.0 Duratorq TDCi (163PS) (+DPF),M6-AWD,1997,Diesel,7.6,5.1,6,37.2,55.4,47.1,159,1609.92101910828,5,72,218,,170,205,1
FORD,"Kuga, Model Year Post 2010¾",2.0 Duratorq TDCi (163PS) (+DPF),A6-AWD,1997,Diesel,8.5,5.8,6.8,33.2,48.7,41.5,179,1827.16337349398,5,69,115,,172,192,1
FORD,"Mondeo, Model Year Post 2010",2.0 Duratec (145PS) Saloon,M5,1999,Petrol,11.2,6,7.9,25.2,47.1,35.8,184,2026.65251396648,5,72,462,37,30,,
FORD,"Mondeo, Model Year Post 2010",2.0 Duratec (145PS) Estate,M5,1999,Petrol,11.2,6,7.9,25.2,47.1,35.8,184,2026.65251396648,5,72,462,37,30,,
FORD,"Mondeo, Model Year Post 2010",2.0 Duratec EcoBoost (203PS) Saloon,A6,1976,Petrol,10.7,6,7.7,26.4,47.1,36.7,179,1976.95258855586,5,72,454,54,21,,
FORD,"Mondeo, Model Year Post 2010",2.0 Duratec EcoBoost (203PS) Estate,A6,1976,Petrol,10.7,6,7.7,26.4,47.1,36.7,179,1976.95258855586,5,72,454,54,21,,
FORD,"Mondeo, Model Year Post 2010",2.0 Duratorq (115PS) Saloon,M6,1997,Diesel,6.4,4.6,5.3,44.1,61.4,53.3,139,1422.65065666041,5,70,352,,161,201,1
FORD,"Mondeo, Model Year Post 2010",2.0 Duratorq (115PS) Estate,M6,1997,Diesel,6.4,4.6,5.3,44.1,61.4,53.3,139,1422.65065666041,5,70,352,,161,201,1
FORD,"Mondeo, Model Year Post 2010",2.0 Duatorq (140PS) Saloon,M6,1997,Diesel,6.4,4.6,5.3,44.1,61.4,53.3,139,1422.65065666041,5,70,352,,161,201,1
FORD,"Mondeo, Model Year Post 2010",2.0 Duatorq (140PS) Estate,M6,1997,Diesel,6.4,4.6,5.3,44.1,61.4,53.3,139,1422.65065666041,5,70,352,,161,201,1
FORD,"Mondeo, Model Year Post 2010",2.0 Duatorq (140PS) Saloon,A6,1997,Diesel,7.2,4.7,5.6,39.2,60.1,50.4,149,1504.50952380952,5,68,181,,158,179,1
FORD,"Mondeo, Model Year Post 2010",2.0 Duatorq (140PS) Estate,A6,1997,Diesel,7.2,4.7,5.6,39.2,60.1,50.4,149,1504.50952380952,5,68,181,,158,179,1
FORD,"Mondeo, Model Year Post 2010",2.0 Duratorq (163PS) Saloon,M6,1997,Diesel,6.4,4.6,5.3,44.1,61.4,53.3,139,1422.65065666041,5,70,352,,161,201,1
FORD,"Mondeo, Model Year Post 2010",2.0 Duratorq (163PS) Estate,M6,1997,Diesel,6.4,4.6,5.3,44.1,61.4,53.3,139,1422.65065666041,5,70,352,,161,201,1
FORD,"Mondeo, Model Year Post 2010",2.0 Duratorq (163PS) Saloon,A6,1997,Diesel,7.2,4.7,5.6,39.2,60.1,50.4,149,1504.50952380952,5,68,181,,158,179,1
FORD,"Mondeo, Model Year Post 2010",2.0 Duratorq (163PS) Estate,A6,1997,Diesel,7.2,4.7,5.6,39.2,60.1,50.4,149,1504.50952380952,5,68,181,,158,179,1
FORD,"New Mondeo, Model Year Post 2011¼",1.6 Duratec Ti-VCT (120PS) Saloon,M5,1596,Petrol,9.2,5.4,6.8,30.7,52.3,41.5,159,1748.29301204819,5,72,627,62,38,,
FORD,"New Mondeo, Model Year Post 2011¼",1.6 Duratec Ti-VCT (120PS) Estate,M5,1596,Petrol,9.2,5.4,6.8,30.7,52.3,41.5,159,1748.29301204819,5,72,627,62,38,,
FORD,"New Mondeo, Model Year Post 2011¼",2.0 Duratec (145PS) Saloon,M5,1999,Petrol,11.2,6,7.9,25.2,47.1,35.8,184,2026.65251396648,5,72,462,37,30,,
FORD,"New Mondeo, Model Year Post 2011¼",2.0 Duratec (145PS) Estate,M5,1999,Petrol,11.2,6,7.9,25.2,47.1,35.8,184,2026.65251396648,5,72,462,37,30,,
FORD,"New Mondeo, Model Year Post 2011¼",2.0 Duratec EcoBoost (203PS) Saloon,A6,1976,Petrol,10.7,6,7.7,26.4,47.1,36.7,179,1976.95258855586,5,72,454,54,21,,
FORD,"New Mondeo, Model Year Post 2011¼",2.0 Duratec EcoBoost (203PS) Estate,A6,1976,Petrol,10.7,6,7.7,26.4,47.1,36.7,179,1976.95258855586,5,72,454,54,21,,
FORD,"New Mondeo, Model Year Post 2011¼",2.0 Duratorq (115PS) Saloon (+DPF),M6,1997,Diesel,6.4,4.6,5.3,44.1,61.4,53.3,139,1422.65065666041,5,70,352,,161,201,1
FORD,"New Mondeo, Model Year Post 2011¼",2.0 Duratorq (115PS) Estate (+DPF),M6,1997,Diesel,6.4,4.6,5.3,44.1,61.4,53.3,139,1422.65065666041,5,70,352,,161,201,1
FORD,"New Mondeo, Model Year Post 2011¼",2.0 Duatorq (140PS) Saloon (+DPF),M6,1997,Diesel,6.4,4.6,5.3,44.1,61.4,53.3,139,1422.65065666041,5,70,352,,161,201,1
FORD,"New Mondeo, Model Year Post 2011¼",2.0 Duatorq (140PS) Estate (+DPF),M6,1997,Diesel,6.4,4.6,5.3,44.1,61.4,53.3,139,1422.65065666041,5,70,352,,161,201,1
FORD,"New Mondeo, Model Year Post 2011¼",2.0 Duatorq (140PS) Saloon (+DPF),A6,1997,Diesel,7.2,4.7,5.6,39.2,60.1,50.4,149,1504.50952380952,5,68,181,,158,179,1
FORD,"New Mondeo, Model Year Post 2011¼",2.0 Duatorq (140PS) Estate (+DPF),A6,1997,Diesel,7.2,4.7,5.6,39.2,60.1,50.4,149,1504.50952380952,5,68,181,,158,179,1
FORD,"New Mondeo, Model Year Post 2011¼",2.0 Duratorq (163PS) Saloon (+DPF),M6,1997,Diesel,6.4,4.6,5.3,44.1,61.4,53.3,139,1422.65065666041,5,70,352,,161,201,1
FORD,"New Mondeo, Model Year Post 2011¼",2.0 Duratorq (163PS) Estate (+DPF),M6,1997,Diesel,6.4,4.6,5.3,44.1,61.4,53.3,139,1422.65065666041,5,70,352,,161,201,1
FORD,"New Mondeo, Model Year Post 2011¼",2.0 Duratorq (163PS) Saloon (+DPF),A6,1997,Diesel,7.2,4.7,5.6,39.2,60.1,50.4,149,1504.50952380952,5,68,181,,158,179,1
FORD,"New Mondeo, Model Year Post 2011¼",2.0 Duratorq (163PS) Estate (+DPF),A6,1997,Diesel,7.2,4.7,5.6,39.2,60.1,50.4,149,1504.50952380952,5,68,181,,158,179,1
FORD,"New Mondeo, Model Year Post 2011¼",2.0 Duratec (145PS) FFV Saloon & Estate,M5,1999,Petrol,11.3,6,8,25,47.1,35.3,184,2055.35864022663,5,72,685,60,52,,
FORD,"New Mondeo, Model Year Post 2011¼",2.0 Duratec (145PS) FFV Saloon & Estate,M5,1999,Petrol / E85 (Flex Fuel),14.3,8,10.3,19.8,35.3,27.4,169,1533.03065693431,5,72,451,68,25,,
FORD,"S-Max, Model Year Post 2010",2.0 Duratec (145PS),M5,1999,Petrol,11.3,6.4,8.2,25,44.1,34.4,189,2109.13255813953,5,72,503,42,29,,
FORD,"S-Max, Model Year Post 2010",2.0 Duratec EcoBoost (203PS),A6,1976,Petrol,11,6.4,8.1,25.7,44.1,34.9,189,2078.91575931232,5,71,458,61,31,,
FORD,"S-Max, Model Year Post 2010",2.0 Duratec EcoBoost (240PS),A6,1999,Petrol,11.5,6.5,8.3,24.6,43.5,34,194,2133.94588235294,5,72,731,72,33,,
FORD,"S-Max, Model Year Post 2010",2.0 Duratorq (115PS) (+DPF),M6,1997,Diesel,7.2,4.9,5.7,39.2,57.6,49.6,152,1528.77580645161,5,70,357,,165,208,1
FORD,"S-Max, Model Year Post 2010",2.0 Duatorq (140PS) (+DPF),A6,1997,Diesel,7.4,5.2,6,38.2,54.3,47.1,159,1609.92101910828,5,68,195,,139,160,0
FORD,"S-Max, Model Year Post 2010",2.0 Duratorq (163PS) (+DPF),M6,1997,Diesel,7.2,4.9,5.7,39.2,57.6,49.6,152,1528.77580645161,5,70,357,,165,208,1
FORD,"S-Max, Model Year Post 2010",2.0 Duratorq (163PS) (+DPF),A6,1997,Diesel,7.4,5.2,6,38.2,54.3,47.1,159,1609.92101910828,5,68,195,,139,160,0
FORD,"New S-Max, Model Year Post 2011¼",2.0 Duratec (145PS),M5,1999,Petrol,11.3,6.4,8.2,25,44.1,34.4,189,2109.13255813953,5,72,503,42,29,,
FORD,"New S-Max, Model Year Post 2011¼",2.0 Duratec EcoBoost (203PS),A6,1976,Petrol,11,6.4,8.1,25.7,44.1,34.9,189,2078.91575931232,5,71,458,61,31,,
FORD,"New S-Max, Model Year Post 2011¼",2.0 Duratorq (115PS) (+DPF),M6,1997,Diesel,7.2,4.9,5.7,39.2,57.6,49.6,152,1528.77580645161,5,70,357,,165,208,0.7
FORD,"New S-Max, Model Year Post 2011¼",2.0 Duatorq (140PS) (+DPF),A6,1997,Diesel,7.4,5.2,6,38.2,54.3,47.1,159,1609.92101910828,5,68,195,,139,160,0
FORD,"New S-Max, Model Year Post 2011¼",2.0 Duratorq (163PS) (+DPF),M6,1997,Diesel,7.2,4.9,5.7,39.2,57.6,49.6,152,1528.77580645161,5,70,357,,165,208,0.7
