Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Noise Level dB(A),Emissions CO,Emissions HC,Emissions NOx,Emissions HC+NOx,Emissions Particulates,Euro Standard,,,,,,
FORD,"Ka, Post 2006 Model Year",1.3 Duratec - no AC (14 inch tyre),M5,1299,Petrol,8.4,4.9,6.2,33.6,57.6,45.6,147,1053,71.0,0.325,0.082,0.043,,,IV,,,,,,
FORD,"Ka, Post 2006 Model Year",1.3 Duratec - with AC (13 inch tyre),M5,1299,Petrol,8.7,4.9,6.3,32.5,57.6,44.8,150,1072,71.0,0.308,0.066,0.051,,,IV,,,,,,
FORD,"Ka, Post 2006 Model Year",1.3 Duratec - with AC (14 inch tyre),M5,1299,Petrol,8.9,5.1,6.5,31.7,55.4,43.5,154,1104,71.0,0.308,0.066,0.051,,,IV,,,,,,
FORD,"Ka, Post 2006 Model Year",1.6 Duratec Sportka,M5,1597,Petrol,10.4,6.0,7.6,27.2,47.1,37.2,182,1290,74.0,0.547,0.046,0.039,,,IV,,,,,,
FORD,"Kuga, Post 2009¼ Model Year",2.0 Duratorq TDCi (136PS) (+DPF),M6,1997,Diesel,7.7,5.1,6.1,36.7,55.4,46.3,159,1178,72.0,0.068,,0.220,0.236,0.001,IV,,,,,,
FORD,"Kuga, Post 2009¼ Model Year",2.0 Duratorq TDCi (136PS) (+DPF),M6-AWD,1997,Diesel,8.1,5.4,6.4,34.9,52.3,44.1,169,1237,72.0,0.068,,0.220,0.236,0.001,IV,,,,,,
FORD,"Kuga, Post 2009¼ Model Year",2.5 Duratec (200PS),M6-AWD,2521,Petrol,13.9,7.6,9.9,20.3,37.2,28.5,234,1684,70.0,0.322,0.052,0.029,,,IV,,,,,,
FORD,"Kuga, Post 2009¼ Model Year",2.5 Duratec (200PS),A5-AWD,2521,Petrol,14.6,7.8,10.3,19.3,36.2,27.4,244,1752,72.0,0.245,0.061,0.017,,,IV,,,,,,
FORD,"Kuga, Pre 2009¼ Model Year",2.0 Duratorq TDCi (136PS) (+DPF),M6,1997,Diesel,8.0,5.3,6.3,35.3,53.3,44.8,165,1218,72.0,0.068,,0.220,0.236,0.001,IV,,,,,,
FORD,"Kuga, Pre 2009¼ Model Year",2.0 Duratorq TDCi (136PS) (+DPF),M6-AWD,1997,Diesel,8.1,5.4,6.4,34.9,52.3,44.1,169,1237,72.0,0.068,,0.220,0.236,0.001,IV,,,,,,
FORD,"Mondeo, Post 2009½ Model Year",1.8 Duratorq TDCi (125PS) Saloon (ECO),M5,1753,Diesel,6.8,4.4,5.3,41.5,64.2,53.3,139,1023,69.0,0.275,,0.235,0.258,0.023,IV,,,,,,
FORD,"Mondeo, Post 2009½ Model Year",2.0 Duratorq TDCi (115PS) Saloon (ECO),M6,1997,Diesel,6.6,4.4,5.2,42.8,64.2,54.3,139,1005,71.0,0.136,,0.150,0.164,0.000,IV,,,,,,
FORD,"Mondeo, Post 2009½ Model Year",2.0 Duratorq TDCi (115PS) Estate (ECO),M6,1997,Diesel,6.6,4.4,5.2,42.8,64.2,54.3,139,1005,71.0,0.136,,0.150,0.164,0.000,IV,,,,,,
FORD,"Mondeo, Post 2009½ Model Year",1.8 Duratorq TDCi (125PS) Estate (ECO),M5,1753,Diesel,6.9,4.5,5.4,40.9,62.8,52.3,142,1043,69.0,0.275,,0.235,0.258,0.023,IV,,,,,,
FORD,"Mondeo, Post 2009½ Model Year",1.8 Duratorq TDCi (100PS) Saloon,M5,1753,Diesel,7.3,4.6,5.6,38.7,61.4,50.4,149,1082,69.0,0.275,,0.235,0.258,0.023,IV,,,,,,
FORD,"Mondeo, Post 2009½ Model Year",1.8 Duratorq TDCi (125PS) Saloon,M5,1753,Diesel,7.3,4.6,5.6,38.7,61.4,50.4,149,1082,69.0,0.275,,0.235,0.258,0.023,IV,,,,,,
FORD,"Mondeo, Post 2009½ Model Year",1.8 Duratorq TDCi (100PS) Estate,M5,1753,Diesel,7.4,4.7,5.7,38.2,60.1,49.6,151,1100,69.0,0.275,,0.235,0.258,0.023,IV,,,,,,
FORD,"Mondeo, Post 2009½ Model Year",1.8 Duratorq TDCi (125PS) Estate,M5,1753,Diesel,7.4,4.7,5.7,38.2,60.1,49.6,151,1100,69.0,0.275,,0.235,0.258,0.023,IV,,,,,,
FORD,"Mondeo, Post 2009½ Model Year",1.8 Duratorq TDCi (125PS) Saloon,M6,1753,Diesel,7.5,4.8,5.8,37.7,58.9,48.7,154,1120,69.0,0.344,,0.226,0.256,0.023,IV,,,,,,
FORD,"Mondeo, Post 2009½ Model Year",1.8 Duratorq TDCi (125PS) Estate,M6,1753,Diesel,7.6,4.9,5.9,37.2,57.6,47.9,156,1139,69.0,0.344,,0.226,0.256,0.023,IV,,,,,,
FORD,"Mondeo, Post 2009½ Model Year",2.0 Duratorq TDCi (140PS) Saloon,M6,1997,Diesel,7.6,4.9,5.9,37.2,57.6,47.9,156,1139,71.0,0.255,,0.237,0.267,0.001,IV,,,,,,
FORD,"Mondeo, Post 2009½ Model Year",2.0 Duratorq TDCi (140PS) Estate,M6,1997,Diesel,7.6,4.9,5.9,37.2,57.6,47.9,156,1139,71.0,0.255,,0.237,0.267,0.001,IV,,,,,,
FORD,"Mondeo, Post 2009½ Model Year",2.2 Duratorq TDCi (175PS) Saloon,M6,2179,Diesel,8.4,4.9,6.2,33.6,57.6,45.6,165,1196,70.0,0.263,,0.220,0.261,0.002,IV,,,,,,
FORD,"Mondeo, Post 2009½ Model Year",2.2 Duratorq TDCi (175PS) Estate,M6,2179,Diesel,8.4,4.9,6.2,33.6,57.6,45.6,165,1196,70.0,0.263,,0.220,0.261,0.002,IV,,,,,,
FORD,"Mondeo, Post 2009½ Model Year",2.0 Duratorq TDCi (140PS) Saloon,A6,1997,Diesel,9.7,5.5,7.1,29.1,51.4,39.8,187,1371,70.0,0.026,,0.216,0.222,0.000,IV,,,,,,
FORD,"Mondeo, Post 2009½ Model Year",2.0 Duratorq TDCi (140PS) Estate,A6,1997,Diesel,9.7,5.5,7.1,29.1,51.4,39.8,187,1371,70.0,0.026,,0.216,0.222,0.000,IV,,,,,,
FORD,"Mondeo, Post 2009½ Model Year",1.6 Duratec (110PS) Saloon,M5,1596,Petrol,10.0,5.6,7.2,28.2,50.4,39.2,170,1225,72.0,0.576,0.095,0.061,,,IV,,,,,,
FORD,"Mondeo, Post 2009½ Model Year",1.6 Duratec (110PS) Estate,M5,1596,Petrol,10.0,5.6,7.2,28.2,50.4,39.2,170,1225,72.0,0.576,0.095,0.061,,,IV,,,,,,
FORD,"Mondeo, Post 2009½ Model Year",1.6 Duratec (125PS) Saloon,M5,1596,Petrol,10.0,5.6,7.2,28.2,50.4,39.2,170,1225,72.0,0.576,0.095,0.061,,,IV,,,,,,
FORD,"Mondeo, Post 2009½ Model Year",1.6 Duratec (125PS) Estate,M5,1596,Petrol,10.0,5.6,7.2,28.2,50.4,39.2,170,1225,72.0,0.576,0.095,0.061,,,IV,,,,,,
FORD,"Mondeo, Post 2009½ Model Year",2.0 Duratec (145PS) Saloon,M5,1999,Petrol,11.2,6.0,7.9,25.2,47.1,35.8,189,1341,72.0,0.506,0.064,0.052,,,IV,,,,,,
FORD,"Mondeo, Post 2009½ Model Year",2.0 Duratec (145PS) Estate,M5,1999,Petrol,11.2,6.0,7.9,25.2,47.1,35.8,189,1341,72.0,0.506,0.064,0.052,,,IV,,,,,,
FORD,"Mondeo, Post 2009½ Model Year",2.5 Duratec (220PS) Saloon,M6,2521,Petrol,13.6,6.8,9.3,20.8,41.5,30.4,222,1579,71.0,0.374,0.058,0.024,,,IV,,,,,,
FORD,"Mondeo, Post 2009½ Model Year",2.5 Duratec (220PS) Estate,M6,2521,Petrol,13.6,6.8,9.3,20.8,41.5,30.4,222,1579,71.0,0.374,0.058,0.024,,,IV,,,,,,
FORD,"Mondeo, Post 2009½ Model Year",2.3 Duratec (160PS) Saloon,A6,2261,Petrol,13.8,6.7,9.3,20.5,42.2,30.4,223,1579,70.0,0.476,0.057,0.063,,,IV,,,,,,
FORD,"Mondeo, Post 2009½ Model Year",2.3 Duratec (160PS) Estate,A6,2261,Petrol,13.8,6.7,9.3,20.5,42.2,30.4,223,1579,70.0,0.476,0.057,0.063,,,IV,,,,,,
FORD,"Mondeo, Post 2009½ Model Year",2.0 Duratec Flexi-Fuel (145PS) Saloon,M5,1999,Petrol / E85,11.2,6.0,7.9,25.2,47.1,35.8,189,1341,72.0,0.399,0.034,0.026,,,IV,,,,,,
FORD,"Mondeo, Post 2009½ Model Year",2.0 Duratec Flexi-Fuel (145PS) Estate,M5,1999,Petrol / E85,11.2,6.0,7.9,25.2,47.1,35.8,189,1341,72.0,0.399,0.034,0.026,,,IV,,,,,,
FORD,"Mondeo, Pre 2009½ Model Year",1.8 Duratorq TDCi (125PS) Saloon (ECO),M5,1753,Diesel,6.8,4.4,5.3,41.5,64.2,53.3,139,1023,69.0,0.275,,0.235,0.258,0.023,IV,,,,,,
FORD,"Mondeo, Pre 2009½ Model Year",2.0 Duratorq TDCi (115PS) Saloon (ECO),M6,1997,Diesel,6.6,4.4,5.2,42.8,64.2,54.3,139,1005,71.0,0.136,,0.150,0.164,0.000,IV,,,,,,
FORD,"Mondeo, Pre 2009½ Model Year",2.0 Duratorq TDCi (115PS) Estate (ECO),M6,1997,Diesel,6.6,4.4,5.2,42.8,64.2,54.3,139,1005,71.0,0.136,,0.150,0.164,0.000,IV,,,,,,
FORD,"Mondeo, Pre 2009½ Model Year",1.8 Duratorq TDCi (125PS) Estate (ECO),M5,1753,Diesel,6.9,4.5,5.4,40.9,62.8,52.3,142,1043,69.0,0.275,,0.235,0.258,0.023,IV,,,,,,
FORD,"Mondeo, Pre 2009½ Model Year",1.8 Duratorq TDCi (100PS) Saloon,M5,1753,Diesel,7.3,4.6,5.6,38.7,61.4,50.4,149,1082,69.0,0.275,,0.235,0.258,0.023,IV,,,,,,
FORD,"Mondeo, Pre 2009½ Model Year",1.8 Duratorq TDCi (125PS) Saloon,M5,1753,Diesel,7.3,4.6,5.6,38.7,61.4,50.4,149,1082,69.0,0.275,,0.235,0.258,0.023,IV,,,,,,
FORD,"Mondeo, Pre 2009½ Model Year",1.8 Duratorq TDCi (100PS) Estate,M5,1753,Diesel,7.4,4.7,5.7,38.2,60.1,49.6,151,1100,69.0,0.275,,0.235,0.258,0.023,IV,,,,,,
FORD,"Mondeo, Pre 2009½ Model Year",1.8 Duratorq TDCi (125PS) Estate,M5,1753,Diesel,7.4,4.7,5.7,38.2,60.1,49.6,151,1100,69.0,0.275,,0.235,0.258,0.023,IV,,,,,,
FORD,"Mondeo, Pre 2009½ Model Year",1.8 Duratorq TDCi (125PS) Saloon,M6,1753,Diesel,7.5,4.8,5.8,37.7,58.9,48.7,154,1120,69.0,0.344,,0.226,0.256,0.023,IV,,,,,,
FORD,"Mondeo, Pre 2009½ Model Year",1.8 Duratorq TDCi (125PS) Estate,M6,1753,Diesel,7.6,4.9,5.9,37.2,57.6,47.9,156,1139,69.0,0.344,,0.226,0.256,0.023,IV,,,,,,
FORD,"Mondeo, Pre 2009½ Model Year",2.0 Duratorq TDCi (140PS) Saloon,M6,1997,Diesel,7.6,4.9,5.9,37.2,57.6,47.9,156,1139,71.0,0.255,,0.237,0.267,0.001,IV,,,,,,
FORD,"Mondeo, Pre 2009½ Model Year",2.0 Duratorq TDCi (140PS) Estate,M6,1997,Diesel,7.6,4.9,5.9,37.2,57.6,47.9,156,1139,71.0,0.255,,0.237,0.267,0.001,IV,,,,,,
FORD,"Mondeo, Pre 2009½ Model Year",2.2 Duratorq TDCi (175PS) Saloon,M6,2179,Diesel,8.4,4.9,6.2,33.6,57.6,45.6,165,1196,70.0,0.263,,0.220,0.261,0.002,IV,,,,,,
FORD,"Mondeo, Pre 2009½ Model Year",2.2 Duratorq TDCi (175PS) Estate,M6,2179,Diesel,8.4,4.9,6.2,33.6,57.6,45.6,165,1196,70.0,0.263,,0.220,0.261,0.002,IV,,,,,,
FORD,"Mondeo, Pre 2009½ Model Year",2.0 Duratorq TDCi (140PS) Saloon,A6,1997,Diesel,9.8,5.6,7.1,28.8,50.4,39.8,189,1371,70.0,0.026,,0.216,0.222,0.000,IV,,,,,,
FORD,"Mondeo, Pre 2009½ Model Year",2.0 Duratorq TDCi (140PS) Estate,A6,1997,Diesel,9.8,5.6,7.1,28.8,50.4,39.8,189,1371,70.0,0.026,,0.216,0.222,0.000,IV,,,,,,
FORD,"Mondeo, Pre 2009½ Model Year",1.6 Duratec (110PS) Saloon,M5,1596,Petrol,10.0,5.6,7.2,28.2,50.4,39.2,170,1225,72.0,0.576,0.095,0.061,,,IV,,,,,,
FORD,"Mondeo, Pre 2009½ Model Year",1.6 Duratec (110PS) Estate,M5,1596,Petrol,10.0,5.6,7.2,28.2,50.4,39.2,170,1225,72.0,0.576,0.095,0.061,,,IV,,,,,,
FORD,"Mondeo, Pre 2009½ Model Year",1.6 Duratec (125PS) Saloon,M5,1596,Petrol,10.0,5.6,7.2,28.2,50.4,39.2,170,1225,72.0,0.576,0.095,0.061,,,IV,,,,,,
FORD,"Mondeo, Pre 2009½ Model Year",1.6 Duratec (125PS) Estate,M5,1596,Petrol,10.0,5.6,7.2,28.2,50.4,39.2,170,1225,72.0,0.576,0.095,0.061,,,IV,,,,,,
FORD,"Mondeo, Pre 2009½ Model Year",2.0 Duratec (145PS) Saloon,M5,1999,Petrol,11.2,6.0,7.9,25.2,47.1,35.8,189,1341,72.0,0.506,0.064,0.052,,,IV,,,,,,
FORD,"Mondeo, Pre 2009½ Model Year",2.0 Duratec (145PS) Estate,M5,1999,Petrol,11.2,6.0,7.9,25.2,47.1,35.8,189,1341,72.0,0.506,0.064,0.052,,,IV,,,,,,
FORD,"Mondeo, Pre 2009½ Model Year",2.5 Duratec (220PS) Saloon,M6,2521,Petrol,13.6,6.8,9.3,20.8,41.5,30.4,222,1579,71.0,0.374,0.058,0.024,,,IV,,,,,,
FORD,"Mondeo, Pre 2009½ Model Year",2.5 Duratec (220PS) Estate,M6,2521,Petrol,13.6,6.8,9.3,20.8,41.5,30.4,222,1579,71.0,0.374,0.058,0.024,,,IV,,,,,,
FORD,"Mondeo, Pre 2009½ Model Year",2.3 Duratec (160PS) Saloon,A6,2261,Petrol,13.8,6.7,9.3,20.5,42.2,30.4,223,1579,70.0,0.476,0.057,0.063,,,IV,,,,,,
FORD,"Mondeo, Pre 2009½ Model Year",2.3 Duratec (160PS) Estate,A6,2261,Petrol,13.8,6.7,9.3,20.5,42.2,30.4,223,1579,70.0,0.476,0.057,0.063,,,IV,,,,,,
FORD,"Mondeo, Pre 2009½ Model Year",2.0 Duratec Flexi-Fuel (145PS) Saloon,M5,1999,Petrol / E85,11.2,6.0,7.9,25.2,47.1,35.8,189,1341,72.0,0.399,0.034,0.026,,,IV,,,,,,
FORD,"Mondeo, Pre 2009½ Model Year",2.0 Duratec Flexi-Fuel (145PS) Estate,M5,1999,Petrol / E85,11.2,6.0,7.9,25.2,47.1,35.8,189,1341,72.0,0.399,0.034,0.026,,,IV,,,,,,
FORD,"New Fiesta, Post 2009 Model Year",1.6 Duratorq TDCi (90PS) (+DPF),M5,1560,Diesel,4.6,3.2,3.7,61.4,88.3,76.3,98,715,69.0,0.155,,0.217,0.231,0.000,IV,,,,,,
FORD,"New Fiesta, Post 2009 Model Year",1.4 Duratorq TDCi (68PS),M5,1399,Diesel,5.3,3.5,4.2,53.3,80.7,67.3,110,811,70.0,0.117,,0.201,0.215,0.018,IV,,,,,,
FORD,"New Fiesta, Post 2009 Model Year",1.6 Duratorq TDCi (90PS),M5,1560,Diesel,5.2,3.6,4.2,54.3,78.5,67.3,110,811,71.0,0.141,,0.225,0.255,0.023,IV,,,,,,
FORD,"New Fiesta, Post 2009 Model Year",1.25 Duratec (60PS),M5,1242,Petrol,7.3,4.3,5.4,38.7,65.7,52.3,128,918,71.0,0.519,0.084,0.027,,,IV,,,,,,
FORD,"New Fiesta, Post 2009 Model Year",1.25 Duratec (82PS),M5,1242,Petrol,7.5,4.6,5.7,37.7,61.4,49.6,133,968,72.0,0.519,0.084,0.027,,,IV,,,,,,
FORD,"New Fiesta, Post 2009 Model Year",1.4 Duratec (96PS),M5,1388,Petrol,7.5,4.6,5.7,37.7,61.4,49.6,133,968,71.0,0.353,0.090,0.058,,,IV,,,,,,
FORD,"New Fiesta, Post 2009 Model Year",1.6 Duratec TI-VCT (120PS),M5,1596,Petrol,7.9,4.7,5.9,35.8,60.1,47.9,139,1002,72.0,0.334,0.069,0.016,,,IV,,,,,,
FORD,"New Fiesta, Post 2009 Model Year",1.4 Duratec (96PS),A4,1388,Petrol,8.9,5.1,6.5,31.7,55.4,43.5,154,1104,68.0,0.296,0.072,0.048,,,IV,,,,,,
FORD,"New Ka, Post 2009½ Model Year",1.3 Duratorq (75PS),M5,1248,Diesel,5.2,3.7,4.2,54.3,76.3,67.3,112,811,71.5,0.125,,0.187,0.211,0.024,IV,,,,,,
FORD,"New Ka, Post 2009½ Model Year",1.2 Duratec (69PS),M5,1242,Petrol,6.3,4.4,5.1,44.8,64.2,55.4,119,867,72.0,0.150,0.038,0.010,,,IV,,,,,,
FORD,"S-Max, Post 2009½ Model Year",2.0 Duratorq TDCi (140PS),M6,1997,Diesel,7.7,5.0,6.0,36.7,56.5,47.1,159,1158,71.0,0.242,,0.291,0.324,0.036,IV,,,,,,
FORD,"S-Max, Post 2009½ Model Year",2.0 Duratorq TDCi (140PS) (+ DPF),M6,1997,Diesel,7.7,5.0,6.0,36.7,56.5,47.1,159,1158,71.0,0.242,,0.302,0.326,0.001,IV,,,,,,
FORD,"S-Max, Post 2009½ Model Year",1.8 Duratorq TDCi (125PS),M5,1753,Diesel,7.9,5.2,6.2,35.8,54.3,45.6,164,1196,70.0,0.585,,0.299,0.339,0.023,IV,,,,,,
FORD,"S-Max, Post 2009½ Model Year",1.8 Duratorq TDCi (125PS),M6,1753,Diesel,7.9,5.2,6.2,35.8,54.3,45.6,164,1196,70.0,0.502,,0.267,0.320,0.032,IV,,,,,,
FORD,"S-Max, Post 2009½ Model Year",2.2 Duratorq TDCi (175PS),M6,2179,Diesel,8.9,5.2,6.6,31.7,54.3,42.8,174,1275,70.0,0.243,,0.275,0.320,0.000,IV,,,,,,
FORD,"S-Max, Post 2009½ Model Year",2.0 Duratorq TDCi (140PS) (+ DPF),A6,1997,Diesel,9.7,5.7,7.2,29.1,49.6,39.2,189,1392,70.0,0.028,,0.302,0.308,0.001,IV,,,,,,
FORD,"S-Max, Post 2009½ Model Year",2.0 Duratec (145PS),M5,1999,Petrol,11.0,6.4,8.1,25.7,44.1,34.9,194,1376,72.0,0.506,0.064,0.052,,,IV,,,,,,
FORD,"S-Max, Post 2009½ Model Year",2.5 Duratec (220PS),M6,2521,Petrol,13.3,7.1,9.4,21.2,39.8,30.1,224,1595,72.0,0.374,0.058,0.024,,,IV,,,,,,
FORD,"S-Max, Post 2009½ Model Year",2.3 Duratec (160PS),A6,2261,Petrol,13.7,7.4,9.7,20.6,38.2,29.1,232,1650,70.0,0.476,0.057,0.063,,,IV,,,,,,
FORD,"S-Max, Post 2009½ Model Year",2.0 Duratec Flexi-Fuel (145PS),M5,1999,Petrol / E85,11.0,6.4,8.1,25.7,44.1,34.9,194,1376,72.0,0.749,0.057,0.020,,,IV,,,,,,
FORD,"S-Max, Pre 2009½ Model Year",2.0 Duratorq TDCi (140PS),M6,1997,Diesel,7.7,5.0,6.0,36.7,56.5,47.1,159,1158,71.0,0.242,,0.291,0.324,0.036,IV,,,,,,
FORD,"S-Max, Pre 2009½ Model Year",2.0 Duratorq TDCi (140PS) (+ DPF),M6,1997,Diesel,7.7,5.0,6.0,36.7,56.5,47.1,159,1158,71.0,0.242,,0.302,0.326,0.001,IV,,,,,,
FORD,"S-Max, Pre 2009½ Model Year",1.8 Duratorq TDCi (125PS),M5,1753,Diesel,7.9,5.2,6.2,35.8,54.3,45.6,164,1196,70.0,0.585,,0.299,0.339,0.023,IV,,,,,,
FORD,"S-Max, Pre 2009½ Model Year",1.8 Duratorq TDCi (125PS),M6,1753,Diesel,7.9,5.2,6.2,35.8,54.3,45.6,164,1196,70.0,0.502,,0.267,0.320,0.032,IV,,,,,,
FORD,"S-Max, Pre 2009½ Model Year",2.2 Duratorq TDCi (175PS),M6,2179,Diesel,9.0,5.2,6.6,31.4,54.3,42.8,176,1275,70.0,0.243,,0.275,0.320,0.000,IV,,,,,,
FORD,"S-Max, Pre 2009½ Model Year",2.0 Duratorq TDCi (140PS) (+ DPF),A6,1997,Diesel,9.9,5.8,7.3,28.5,48.7,38.7,193,1410,70.0,0.028,,0.302,0.308,0.001,IV,,,,,,
FORD,"S-Max, Pre 2009½ Model Year",2.0 Duratec (145PS),M5,1999,Petrol,11.0,6.4,8.1,25.7,44.1,34.9,194,1376,72.0,0.506,0.064,0.052,,,IV,,,,,,
FORD,"S-Max, Pre 2009½ Model Year",2.5 Duratec (220PS),M6,2521,Petrol,13.3,7.1,9.4,21.2,39.8,30.1,224,1595,72.0,0.374,0.058,0.024,,,IV,,,,,,
FORD,"S-Max, Pre 2009½ Model Year",2.3 Duratec (160PS),A6,2261,Petrol,13.7,7.4,9.7,20.6,38.2,29.1,232,1650,70.0,0.476,0.057,0.063,,,IV,,,,,,
FORD,"S-Max, Pre 2009½ Model Year",2.0 Duratec Flexi-Fuel (145PS),M5,1999,Petrol / E85,11.0,6.4,8.1,25.7,44.1,34.9,194,1376,72.0,0.749,0.057,0.020,,,IV,,,,,,
FORD,"Tourneo Connect, Post 2009 Model Year",1.8 Duratorq (110PS),M5,1753,Diesel,7.6,5.2,6.0,37.2,54.3,47.1,159,1158,73.0,0.285,,0.213,0.235,0.018,IV,,,,,,
FORD,"Tourneo Connect, Post 2009 Model Year",1.8 Duratorq (90PS),M5,1753,Diesel,7.9,5.5,6.4,35.8,51.4,44.1,168,1237,71.0,0.261,,0.241,0.265,0.020,IV,,,,,,
FORD,"Tourneo Connect, Pre 2009 Model Year",1.8 Duratorq (110PS),M5,1753,Diesel,7.6,5.2,6.0,37.2,54.3,47.1,163,1158,73.0,0.285,,0.213,0.235,0.018,IV,,,,,,
FORD,"Tourneo Connect, Pre 2009 Model Year",1.8 Duratorq (90PS),M5,1753,Diesel,7.9,5.5,6.4,35.8,51.4,44.1,172,1237,71.0,0.261,,0.241,0.265,0.020,IV,,,,,,
FORD,"Transit Tourneo SWB Bus (FWD), Post 2009¼ Model Year",2.2 Duratorq TDCi Diesel (115PS),M6,2198,Diesel,10.1,6.6,7.9,28.0,42.8,35.8,208,1524,73.0,0.352,,0.313,0.344,0.027,IV,,,,,,
FORD,"Transit Tourneo SWB Bus (FWD), Post 2009¼ Model Year",2.2 Duratorq TDCi Diesel (115PS) (+DPF),M6,2198,Diesel,10.1,6.6,7.9,28.0,42.8,35.8,208,1524,73.0,0.199,,0.244,0.263,0.002,IV,,,,,,
FORD,"Transit Tourneo SWB Bus (FWD), Post 2009¼ Model Year",2.2 Duratorq TDCi Diesel (140PS),M6,2198,Diesel,10.1,6.6,7.9,28.0,42.8,35.8,208,1524,75.0,0.549,,0.294,0.336,0.027,IV,,,,,,
FORD,"Transit Tourneo SWB Bus (FWD), Post 2009¼ Model Year",2.2 Duratorq TDCi Diesel (140PS) (+DPF),M6,2198,Diesel,10.1,6.6,7.9,28.0,42.8,35.8,208,1524,74.0,0.198,,0.207,0.227,0.001,IV,,,,,,
FORD,"Transit Tourneo SWB Bus (FWD), Pre 2009¼ Model Year",2.2 Duratorq TDCi Diesel (110PS),M5,2198,Diesel,9.6,6.9,7.9,29.4,40.9,35.8,208,1524,72.0,0.351,,0.314,0.344,0.031,IV,,,,,,
FORD,"Transit Tourneo SWB Bus (FWD), Pre 2009¼ Model Year",2.2 Duratorq TDCi Diesel (140PS),M5,2198,Diesel,10.1,6.6,7.9,28.0,42.8,35.8,208,1524,75.0,0.549,,0.294,0.336,0.027,IV,,,,,,
FORD,"Transit Tourneo SWB Bus (FWD), Pre 2009¼ Model Year",2.2 Duratorq TDCi Diesel (130PS),M5,2198,Diesel,10.1,7.0,8.1,28.0,40.4,34.9,215,1563,73.0,0.340,,0.280,0.330,0.043,IV,,,,,,
HONDA,Accord 06 Saloon,2.2 i-CTDi Sport,6MT,2204,Diesel,7.2,4.5,5.5,39.2,62.8,51.4,145,1061,72.1,0.176,,0.179,0.198,0.013,IV,,,,,,
HONDA,Accord 06 Saloon,2.2 i-CTDi EX,6MT,2204,Diesel,7.2,4.5,5.5,39.2,62.8,51.4,145,1061,72.1,0.176,,0.179,0.198,0.013,IV,,,,,,
HONDA,Accord 06 Saloon,2.0 i-VTEC SE,5MT,1998,Petrol,10.1,5.9,7.4,28.0,47.9,38.2,176,1257,69.9,0.450,0.041,0.004,,,IV,,,,,,
HONDA,Accord 06 Saloon,2.0 i-VTEC SE,5AT,1998,Petrol,11.6,6.0,8.0,24.4,47.1,35.3,189,1360,71.0,0.380,0.056,0.007,,,IV,,,,,,
HONDA,Accord 06 Saloon,2.0 i-VTEC Type-S,5MT,1998,Petrol,10.9,6.3,8.0,25.9,44.8,35.3,189,1360,71.8,0.370,0.040,0.010,,,IV,,,,,,
HONDA,Accord 06 Saloon,2.0 i-VTEC EX,5MT,1998,Petrol,10.9,6.3,8.0,25.9,44.8,35.3,189,1360,71.8,0.370,0.040,0.010,,,IV,,,,,,
HONDA,Accord 06 Saloon,2.0 i-VTEC Type-S,5AT,1998,Petrol,12.2,6.3,8.4,23.2,44.8,33.6,200,1429,71.0,0.330,0.070,0.010,,,IV,,,,,,
HONDA,Accord 06 Saloon,2.0 i-VTEC EX,5AT,1998,Petrol,12.2,6.3,8.4,23.2,44.8,33.6,200,1429,71.0,0.330,0.070,0.010,,,IV,,,,,,
HONDA,Accord 06 Saloon,2.4 i-VTEC Type-S,6MT,2354,Petrol,12.7,6.9,9.0,22.2,40.9,31.4,214,1529,72.3,0.560,0.033,0.009,,,IV,,,,,,
HONDA,Accord 06 Saloon,2.4 i-VTEC EX,6MT,2354,Petrol,12.7,6.9,9.0,22.2,40.9,31.4,214,1529,72.3,0.560,0.033,0.009,,,IV,,,,,,
HONDA,Accord 06 Saloon,2.4 i-VTEC EX (ADAS),5AT,2354,Petrol,13.6,6.7,9.2,20.8,42.2,30.7,218,1564,69.3,0.480,0.055,0.009,,,IV,,,,,,
HONDA,Accord 06 Saloon,2.4 i-VTEC EX,5AT,2354,Petrol,13.7,6.9,9.4,20.6,40.9,30.1,223,1595,69.3,0.360,0.046,0.013,,,IV,,,,,,
HONDA,Accord 06 Tourer,2.2 i-CTDi Sport,6MT,2204,Diesel,7.7,4.9,5.9,36.7,57.6,47.9,155,1139,72.5,0.190,,0.169,0.193,0.019,IV,,,,,,
HONDA,Accord 06 Tourer,2.2 i-CTDi EX,6MT,2204,Diesel,7.7,4.9,5.9,36.7,57.6,47.9,155,1139,72.5,0.190,,0.169,0.193,0.019,IV,,,,,,
HONDA,Accord 06 Tourer,2.0 i-VTEC SE,5MT,1998,Petrol,11.4,6.9,8.5,24.8,40.9,33.2,202,1446,72.9,0.470,0.039,0.012,,,IV,,,,,,
HONDA,Accord 06 Tourer,2.0 i-VTEC EX,5MT,1998,Petrol,11.6,7.0,8.6,24.4,40.4,32.8,204,1464,72.9,0.400,0.040,0.010,,,IV,,,,,,
HONDA,Accord 06 Tourer,2.0 i-VTEC SE,5AT,1998,Petrol,12.6,6.6,8.8,22.4,42.8,32.1,208,1496,71.3,0.320,0.054,0.011,,,IV,,,,,,
