Manufacturers,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (cold),Metric Extra-urban,Metric Combined,Imperial (cold),Imperial Extra-urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates
VOLKSWAGEN,Lupo 3 Door Hatchback,E 1.7 SDI 60 bhp,M5,1716,Diesel,5.9,3.6,4.4,47.9,78.5,64.2,119,340,III,73,0.333,0.385,0,0.332,0.024
VOLKSWAGEN,Lupo 3 Door Hatchback,S 1.7 SDI 60 bhp,M5,1716,Diesel,5.9,3.6,4.4,47.9,78.5,64.2,119,340,III,73,0.333,0.385,0,0.332,0.024
VOLKSWAGEN,Lupo 3 Door Hatchback,Sport 1.4 TDI PD 75 bhp,M5,1390,Diesel,5.7,3.6,4.4,49.6,78.5,64.2,119,340,III,73,0.095,0.447,0,0.428,0.017
VOLKSWAGEN,New Polo Hatch 3 & 5 Door,E SDI 1.9  64 bhp,M5,1896,Diesel,6.4,3.9,4.8,44.1,72.4,58.9,130,370,III,73,0.377,0.433,0,0.373,0.042
VOLKSWAGEN,New Polo Hatch 3 & 5 Door,S SDI 1.9 64 bhp,M5,1896,Diesel,6.4,3.9,4.8,44.1,72.4,58.9,130,370,III,73,0.377,0.433,0,0.373,0.042
VOLKSWAGEN,New Polo Hatch 3 & 5 Door,SE TDI PD 1.4  75 bhp,M5,1422,Diesel,5.8,3.7,4.5,48.7,76.3,62.8,120,347,III,72,0.095,0.447,0,0.428,0.017
VOLKSWAGEN,New Polo Saloon,E  SDI 1.9 68 bhp,M5,1896,Diesel,6.8,4.1,5.1,41.5,68.9,55.4,138,394,III,74,0.362,0.504,0,0.449,0.023
VOLKSWAGEN,New Polo Saloon,E TDI 1.9  90 bhp,M5,1896,Diesel,6.5,4.2,5.1,43.5,67.3,55.4,138,394,III,71,0.122,0.444,0,0.424,0.027
VOLKSWAGEN,New Polo Saloon,S SDI 1.9 68 bhp,M5,1896,Diesel,6.8,4.1,5.1,41.5,68.9,55.4,138,394,III,74,0.362,0.504,0,0.449,0.023
VOLKSWAGEN,New Polo Saloon,S TDI 1.9 90 bhp,M5,1896,Diesel,6.5,4.2,5.1,43.5,67.3,55.4,138,394,III,71,0.122,0.444,0,0.424,0.027
VOLKSWAGEN,New Polo Saloon,SE TDI 1.9 90 bhp,M5,1896,Diesel,6.5,4.2,5.1,43.5,67.3,55.4,138,394,III,71,0.122,0.444,0,0.424,0.027
VOLKSWAGEN,New Polo Saloon,SE TDI 1.9 110 bhp,M5,1896,Diesel,6.5,4.1,5.0,43.5,68.9,56.5,135,386,III,73,0.166,0.447,0,0.409,0.041
VOLKSWAGEN,New Polo Estate,E  SDI 1.9 68 bhp,M5,1896,Diesel,7.0,4.3,5.3,40.4,65.7,53.3,143,409,III,73,0.316,0.52,0,0.461,0.032
VOLKSWAGEN,New Polo Estate,E  TDI 1.9 90 bhp,M5,1896,Diesel,6.6,4.3,5.2,42.8,65.7,54.3,140,402,III,71,0.062,0.428,0,0.413,0.03
VOLKSWAGEN,New Polo Estate,S SDI 1.9 68 bhp,M5,1896,Diesel,7.0,4.3,5.3,40.4,65.7,53.3,143,409,III,73,0.316,0.52,0,0.461,0.032
VOLKSWAGEN,New Polo Estate,S TDI 1.9 90 bhp,M5,1896,Diesel,6.6,4.3,5.2,42.8,65.7,54.3,140,402,III,71,0.062,0.428,0,0.413,0.03
VOLKSWAGEN,New Polo Estate,SE TDI 1.9 90 bhp,M5,1896,Diesel,6.6,4.3,5.2,42.8,65.7,54.3,140,402,III,71,0.062,0.428,0,0.413,0.03
VOLKSWAGEN,New Polo Estate,SE TDI 1.9 110 bhp,M5,1896,Diesel,6.6,4.2,5.1,42.8,67.3,55.4,138,394,III,73,0.15,0.43,0,0.391,0.041
