Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Noise Level dB(A),Emissions CO,Emissions HC,Emissions NOx,Emissions HC+NOx,Emissions Particulates,Euro Standard
ABARTH,Grande Punto,1.4 T-Jet 155,M6,1368,Petrol,9.4,5.2,6.7,30.1,54.3,42.2,159,1448,72.0,0.413,0.032,0.031,,,IV
ALFA ROMEO,MiTo,1.3 JTDm 90,M6,1248,Diesel,6.0,3.6,4.5,47.1,78.5,62.8,119,982,72.0,0.154,,0.211,0.228,0.003,IV
ALFA ROMEO,147,1.9 JTDm,M5,1910,Diesel,7.8,4.7,5.8,36.2,60.1,48.7,153,1266,72.0,0.138,,0.209,0.233,0.024,IV
ALFA ROMEO,147,1.9 JTDm 16v,M6,1910,Diesel,8.0,4.7,5.9,35.3,60.1,47.9,157,1287,74.0,0.199,,0.216,0.262,0.024,IV
ALFA ROMEO,147,1.9 JTDm 16v (170 bhp),M6,1910,Diesel,8.0,4.8,5.9,35.3,58.9,47.9,157,1287,74.0,0.098,,0.228,0.241,0.023,IV
ALFA ROMEO,GT,1.9 JTDm 16v,M6,1910,Diesel,8.5,4.9,6.2,33.2,57.6,45.6,165,1352,74.5,0.214,,0.221,0.276,0.024,IV
ALFA ROMEO,GT,1.9 JTDm 16v (170 bhp),M6,1910,Diesel,8.7,4.8,6.2,32.5,58.9,45.6,164,1352,74.0,0.097,,0.214,0.226,0.023,IV
ALFA ROMEO,159,1.9 JTDm 8v ECO (120),M6,1910,Diesel,6.6,4.4,5.2,42.8,64.2,54.3,138,1135,72.0,0.075,,0.192,0.205,0.003,IV
ALFA ROMEO,159,1.9 JTDm 16v (150),M6,1910,Diesel,7.5,4.6,5.7,37.7,61.4,49.6,150,1243,74.0,0.475,,0.220,0.268,0.003,IV
ALFA ROMEO,159,1.9 JTDm 16v QTronic (150),A6,1910,Diesel,9.5,5.2,6.8,29.7,54.3,41.5,180,1485,74.0,0.052,,0.214,0.224,0.004,IV
ALFA ROMEO,159,2.4 JTDm 20v QTronic (200),A6,2387,Diesel,11.4,5.8,7.9,24.8,48.7,35.8,208,1722,72.0,0.172,,0.210,0.237,0.004,IV
ALFA ROMEO,159,2.4 JTDm 20v (210),M6,2387,Diesel,9.2,5.4,6.8,30.7,52.3,41.5,179,1485,74.0,0.192,,0.212,0.232,0.004,IV
ALFA ROMEO,159 Sportwagon,1.9 JTDm 8v ECO (120),M6,1910,Diesel,6.7,4.5,5.3,42.2,62.8,53.3,140,1157,72.0,0.075,,0.192,0.205,0.003,IV
ALFA ROMEO,159 Sportwagon,1.9 JTDm 16v (150),M6,1910,Diesel,7.6,4.7,5.8,37.2,60.1,48.7,153,1266,74.0,0.475,,0.220,0.268,0.003,IV
ALFA ROMEO,159 Sportwagon,1.9 JTDm 16v QTronic (150),A6,1910,Diesel,9.6,5.3,6.9,29.4,53.3,40.9,182,1507,74.0,0.052,,0.214,0.224,0.004,IV
ALFA ROMEO,159 Sportwagon,2.4 JTDm 20v QTronic (200),A6,2387,Diesel,11.6,5.9,8.0,24.4,47.9,35.3,210,1746,72.0,0.172,,0.210,0.237,0.004,IV
ALFA ROMEO,159 Sportwagon,2.4 JTDm 20v (210),M6,2387,Diesel,9.2,5.5,6.9,30.7,51.4,40.9,181,1507,74.0,0.192,,0.212,0.232,0.004,IV
ALFA ROMEO,Brera,2.4 JTDm,M6,2387,Diesel,9.2,5.4,6.8,30.7,52.3,41.5,179,1485,72.0,0.192,,0.212,0.232,0.004,IV
ALFA ROMEO,Brera,2.4 JTDm QTronic,A6,2387,Diesel,11.4,5.8,7.9,24.8,48.7,35.8,208,1722,72.0,0.157,,0.217,0.231,0.004,IV
ALFA ROMEO,Spider,2.4 JTDm,M6,2387,Diesel,9.2,5.4,6.8,30.7,52.3,41.5,179,1485,72.0,0.192,,0.212,0.232,0.004,IV
ALFA ROMEO,Spider,2.4 JTDm QTronic,A6,2387,Diesel,11.4,5.8,7.9,24.8,48.7,35.8,208,1722,72.0,0.157,,0.217,0.231,0.004,IV
ALFA ROMEO,MiTo,1.4 16v TB 120,M5,1368,Petrol,8.1,5.0,6.1,34.9,56.5,46.3,145,1320,71.0,0.284,0.028,0.013,,,IV
ALFA ROMEO,147,1.6 (120 bhp),M5,1598,Petrol,11.2,6.4,8.2,25.2,44.1,34.4,194,1776,74.0,0.131,0.048,0.023,,,IV
ALFA ROMEO,147,2.0,M5,1970,Petrol,12.1,7.0,8.9,23.3,40.4,31.7,211,1927,74.0,0.364,0.055,0.060,,,IV
ALFA ROMEO,GT,1.8 TS,M5,1747,Petrol,12.1,6.4,8.5,23.3,44.1,33.2,202,1840,73.0,0.271,0.041,0.022,,,IV
ALFA ROMEO,GT,2.0 JTS,M5,1970,Petrol,12.2,6.7,8.7,23.2,42.2,32.5,207,1880,73.0,0.512,0.066,0.064,,,IV
ALFA ROMEO,159,2.2 JTS (185),M6,2198,Petrol,12.8,7.1,9.2,22.1,39.8,30.7,218,1990,73.0,0.568,0.028,0.055,,,IV
ALFA ROMEO,159,3.2 JTS V6 (260),M6,3195,Petrol,16.4,7.9,11.0,17.2,35.8,25.7,260,2377,75.0,0.305,0.047,0.042,,,IV
ALFA ROMEO,159 Sportwagon,2.2 JTS (185),M6,2198,Petrol,13.0,7.2,9.3,21.7,39.2,30.4,220,2010,73.0,0.568,0.028,0.055,,,IV
ALFA ROMEO,159 Sportwagon,3.2 JTS V6 (260),M6,3195,Petrol,16.5,7.9,11.1,17.1,35.8,25.4,262,2405,75.0,0.305,0.047,0.042,,,IV
ALFA ROMEO,Brera,2.2 JTS,M6,2198,Petrol,12.7,7.2,9.2,22.2,39.2,30.7,218,1990,73.0,0.398,0.066,0.030,,,IV
ALFA ROMEO,Brera,3.2 JTS V6 4x2,M6,3195,Petrol,16.4,7.9,11.0,17.2,35.8,25.7,260,2377,74.0,0.234,0.052,0.035,,,IV
ALFA ROMEO,Brera,3.2 JTS V6 Q4,M6,3195,Petrol,16.7,8.3,11.4,16.9,34.0,24.8,270,2464,73.0,0.691,0.050,0.032,,,IV
ALFA ROMEO,Brera,3.2 JTS V6 Q4 QTronic,A6,3195,Petrol,18.2,8.5,12.1,15.5,33.2,23.3,286,2622,71.0,0.358,0.078,0.046,,,IV
ALFA ROMEO,Spider,2.2 JTS,M6,2198,Petrol,12.8,7.1,9.2,22.1,39.8,30.7,218,1990,73.0,0.398,0.066,0.030,,,IV
ALFA ROMEO,Spider,3.2 JTS V6 4x2,M6,3195,Petrol,16.5,7.9,11.1,17.1,35.8,25.4,262,2405,74.0,0.234,0.052,0.035,,,IV
ALFA ROMEO,Spider,3.2 JTS V6 Q4,M6,3195,Petrol,16.9,8.4,11.5,16.7,33.6,24.6,272,2484,73.0,0.691,0.050,0.032,,,IV
ALFA ROMEO,Spider,3.2 JTS V6 Q4 QTronic,A6,3195,Petrol,18.4,8.6,12.2,15.4,32.8,23.2,288,2634,71.0,0.358,0.078,0.046,,,IV
ASTON MARTIN LAGONDA,V8 Vantage,Hatchback & Convertible,ASM,4735,Petrol,18.7,9.2,12.7,15.1,30.7,22.2,300,2752,74.0,0.790,0.090,0.040,,,IV
ASTON MARTIN LAGONDA,V8 Vantage,Hatchback & Convertible,M6,4735,Petrol,19.1,10.0,13.3,14.8,28.3,21.2,315,2882,75.0,0.790,0.070,0.040,,,IV
AUDI,A3 Sportback,2.0 TDI 170ps with DPF,M6,1968,Diesel,7.7,4.5,5.7,36.7,62.8,49.6,151,1243,74.0,0.079,,0.216,0.230,0.001,IV
AUDI,A4 Saloon,1.9 TDI 115ps,M5,1896,Diesel,7.8,4.5,5.7,36.2,62.8,49.6,152,1243,71.0,0.051,,0.191,0.210,0.021,IV
AUDI,A4 Saloon,2.0 TDI 140ps,M6,1968,Diesel,7.8,4.5,5.7,36.2,62.8,49.6,151,1243,73.0,0.115,,0.226,0.257,0.022,IV
AUDI,A4 Saloon,2.0 TDI 140ps Multitronic,AV,1968,Diesel,8.2,5.1,6.2,34.4,55.4,45.6,164,1352,72.0,0.044,,0.229,0.241,0.022,IV
AUDI,A4 Saloon,2.0 TDI 170ps with DPF,M6,1984,Diesel,7.9,4.6,5.8,35.8,61.4,48.7,154,1266,72.0,0.017,,0.190,0.198,0.001,IV
AUDI,A4 Saloon,2.0 TDI 170ps quattro with DPF,QM6,1984,Diesel,9.2,5.3,6.7,30.7,53.3,42.2,177,1461,74.0,0.010,,0.191,0.201,0.001,IV
AUDI,A4 Saloon,2.7 V6 TDI 180ps with DPF,M6,2698,Diesel,9.5,5.1,6.7,29.7,55.4,42.2,179,1461,72.0,0.217,,0.195,0.221,0.001,IV
AUDI,A4 Saloon,2.7 V6 TDI 180ps Multitronic with DPF,AV,2698,Diesel,9.2,5.4,6.8,30.7,52.3,41.5,179,1485,72.0,0.166,,0.188,0.210,0.001,IV
AUDI,A4 Saloon,3.0 V6 TDI 233ps quattro,QM6,2967,Diesel,10.7,5.7,7.5,26.4,49.6,37.7,198,1635,73.0,0.208,,0.210,0.240,0.023,IV
AUDI,A4 Saloon,3.0 V6 TDI 233ps quattro Tiptronic,QA6,2967,Diesel,11.6,6.2,8.2,24.4,45.6,34.4,219,1792,73.0,0.234,,0.171,0.204,0.022,IV
AUDI,New A4 Saloon,2.0 CR TDI 120ps,M6,1984,Diesel,6.7,4.1,5.1,42.2,68.9,55.4,134,1113,73.0,0.192,,0.117,0.149,0.006,IV
AUDI,New A4 Saloon,2.7 V6 TDI 190ps Multitronic with DPF,AV,2698,Diesel,8.1,5.7,6.6,34.9,49.6,42.8,176,1440,71.0,0.214,,0.141,0.160,0.001,IV
AUDI,A4 Avant,1.9 TDI 115ps,M5,1896,Diesel,7.9,4.6,5.8,35.8,61.4,48.7,154,1266,71.0,0.051,,0.191,0.210,0.021,IV
AUDI,A4 Avant,2.0 TDI 140ps,M6,1968,Diesel,7.9,4.6,5.8,35.8,61.4,48.7,154,1266,73.0,0.115,,0.226,0.257,0.022,IV
AUDI,A4 Avant,2.0 TDI 140ps Multitronic,AV,1968,Diesel,8.2,5.1,6.2,34.4,55.4,45.6,164,1352,72.0,0.044,,0.229,0.241,0.022,IV
